Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Guinsuan MPA,6.09,32.45,12.45,39.27,2.05
Winter 17/18,Guinsuan MPA,6.29,20.29,1.57,36.43,0.07
Spring 2018,Guinsuan MPA,3.44,27.11,0.11,23.89,0.89
Summer 2018,Guinsuan MPA,3.3,41.5,1.3,34.5,1.45
Autumn 2018,Guinsuan MPA,12.29,25.57,0.57,16.0,0.0
Winter 18/19,Guinsuan MPA,4.71,46.29,0.29,30.14,1.71
Spring 2019,Guinsuan MPA,9.0,33.38,0.75,22.0,0.38
Summer 2019,Guinsuan MPA,15.0,34.29,0.14,23.43,0.5
Autumn 2019,Guinsuan MPA,10.08,28.75,0.5,15.58,0.29
Winter 19/20,Guinsuan MPA,8.08,33.08,0.54,15.08,0.65
Spring 2021,Guinsuan MPA,11.14,15.57,0.71,20.29,1.71
Spring 2022,Guinsuan MPA,7.0,28.11,0.22,20.67,1.28
Summer 2022,Guinsuan MPA,5.26,24.43,0.52,24.83,4.93
Autumn 2022,Guinsuan MPA,6.08,12.08,0.33,24.0,3.96
Winter 22/23,Guinsuan MPA,7.93,31.8,0.33,11.13,2.43
Spring 2023,Guinsuan MPA,5.41,31.18,0.29,21.65,3.38
Summer 2023,Guinsuan MPA,11.65,33.47,1.0,21.41,0.09
Autumn 2023,Guinsuan MPA,8.92,36.17,0.25,19.67,0.42
Winter 23/24,Guinsuan MPA,9.27,33.55,0.18,19.36,0.05
Spring 2024,Guinsuan MPA,4.36,27.55,1.09,16.18,1.14
Summer 2024,Guinsuan MPA,9.0,19.0,1.0,9.88,0.56
Autumn 2024,Guinsuan MPA,10.87,15.47,2.93,14.47,0.33
Winter 24/25,Guinsuan MPA,11.4,18.8,0.1,9.6,0.15
Spring 2025,Guinsuan MPA,10.23,37.08,0.85,11.23,0.27
