Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Kookoos,18.0,22.75,58.0,120.75,5.62
Winter 17/18,Kookoos,9.29,12.86,52.0,91.43,2.79
Spring 2018,Kookoos,6.68,22.95,22.74,63.32,2.45
Summer 2018,Kookoos,1.8,12.2,93.0,69.6,16.7
Autumn 2018,Kookoos,3.79,16.64,27.36,44.36,3.11
Winter 18/19,Kookoos,4.42,22.42,33.0,78.17,2.0
Spring 2019,Kookoos,2.4,19.33,24.93,53.0,1.9
Summer 2019,Kookoos,4.1,21.0,29.1,57.5,3.35
Autumn 2019,Kookoos,4.24,13.12,30.0,44.0,1.62
Winter 19/20,Kookoos,7.08,17.75,19.83,52.25,4.29
Spring 2022,Kookoos,4.42,13.26,16.42,53.95,7.47
Summer 2022,Kookoos,6.33,14.5,22.28,50.61,9.44
Autumn 2022,Kookoos,8.27,12.55,24.09,57.64,16.14
Winter 22/23,Kookoos,6.18,13.0,17.82,34.53,9.15
Spring 2023,Kookoos,5.83,18.44,21.56,49.83,9.89
Summer 2023,Kookoos,8.35,15.88,23.88,62.41,2.03
Autumn 2023,Kookoos,12.86,16.71,13.0,49.57,0.5
Winter 23/24,Kookoos,8.26,26.21,17.37,47.79,0.45
Spring 2024,Kookoos,5.42,21.95,20.53,46.89,2.5
Summer 2024,Kookoos,4.92,16.75,13.83,58.0,4.96
Autumn 2024,Kookoos,15.59,19.82,12.35,45.76,1.41
Winter 24/25,Kookoos,10.5,23.9,13.8,43.7,0.92
Spring 2025,Kookoos,9.28,29.56,9.04,38.52,3.04
