Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Lutoban Pier,10.89,17.67,20.11,83.44,2.56
Winter 17/18,Lutoban Pier,10.2,12.8,17.2,136.4,2.3
Spring 2018,Lutoban Pier,6.44,11.94,9.69,74.06,2.81
Summer 2018,Lutoban Pier,5.2,22.13,9.73,67.87,6.53
Autumn 2018,Lutoban Pier,7.83,16.33,18.08,55.33,3.42
Winter 18/19,Lutoban Pier,2.18,31.35,12.76,56.53,3.41
Spring 2019,Lutoban Pier,2.1,24.7,13.4,68.4,5.8
Summer 2019,Lutoban Pier,12.73,13.73,18.91,56.55,0.95
Autumn 2019,Lutoban Pier,8.56,14.5,12.06,59.17,7.75
Winter 19/20,Lutoban Pier,5.0,20.83,19.42,87.25,10.12
Spring 2021,Lutoban Pier,6.8,11.0,11.0,58.6,10.2
Spring 2022,Lutoban Pier,9.47,23.2,5.8,69.67,2.87
Summer 2022,Lutoban Pier,9.05,16.7,13.85,59.05,6.25
Autumn 2022,Lutoban Pier,9.25,19.92,12.58,44.58,8.17
Winter 22/23,Lutoban Pier,7.18,20.55,4.91,70.36,7.36
Spring 2023,Lutoban Pier,9.74,12.16,13.95,56.79,4.58
Summer 2023,Lutoban Pier,15.76,18.94,18.0,56.94,0.85
Autumn 2023,Lutoban Pier,11.21,27.14,10.86,41.64,0.68
Winter 23/24,Lutoban Pier,11.82,19.29,10.94,45.94,0.62
Spring 2024,Lutoban Pier,9.6,23.33,12.67,38.07,1.6
Summer 2024,Lutoban Pier,11.0,21.57,15.29,37.36,1.68
Autumn 2024,Lutoban Pier,9.43,13.21,13.36,34.14,1.14
Winter 24/25,Lutoban Pier,9.8,18.4,15.0,40.95,0.78
Spring 2025,Lutoban Pier,17.15,20.1,9.85,35.3,1.6
