Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,MASAPLOD NORTE MPA,3.27,20.47,9.07,62.67,4.07
Winter 17/18,MASAPLOD NORTE MPA,3.0,28.0,6.25,32.75,0.12
Spring 2018,MASAPLOD NORTE MPA,5.0,39.1,11.5,65.4,0.6
Summer 2018,MASAPLOD NORTE MPA,4.75,21.25,12.25,27.38,0.81
Autumn 2018,MASAPLOD NORTE MPA,3.71,23.47,11.47,37.18,2.18
Winter 18/19,MASAPLOD NORTE MPA,5.5,22.75,14.25,50.0,1.5
Spring 2019,MASAPLOD NORTE MPA,7.33,22.1,12.57,34.33,1.02
Summer 2019,MASAPLOD NORTE MPA,10.0,19.0,9.73,34.13,0.33
Autumn 2019,MASAPLOD NORTE MPA,3.82,18.91,14.09,38.55,3.05
Winter 19/20,MASAPLOD NORTE MPA,6.0,15.0,13.8,44.2,2.1
Summer 2022,MASAPLOD NORTE MPA,6.2,18.27,9.6,40.07,3.67
Autumn 2022,MASAPLOD NORTE MPA,14.82,12.18,9.45,37.91,11.86
Winter 22/23,MASAPLOD NORTE MPA,13.58,15.67,8.25,17.17,4.92
