Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Maluay Malatapay MPA,16.13,36.33,1.27,74.13,3.13
Spring 2018,Maluay Malatapay MPA,18.69,46.15,0.08,48.92,1.08
Summer 2018,Maluay Malatapay MPA,3.5,39.83,0.58,24.33,1.25
Autumn 2018,Maluay Malatapay MPA,23.69,54.19,0.25,37.25,1.06
Winter 18/19,Maluay Malatapay MPA,10.07,48.64,0.93,35.86,1.79
Spring 2019,Maluay Malatapay MPA,17.58,47.67,0.17,30.58,0.62
Summer 2019,Maluay Malatapay MPA,34.06,27.88,0.65,30.0,0.65
Autumn 2019,Maluay Malatapay MPA,15.79,45.57,0.14,34.0,1.07
Winter 19/20,Maluay Malatapay MPA,15.54,45.77,0.38,25.15,2.92
Spring 2021,Maluay Malatapay MPA,10.44,38.67,0.0,48.44,6.28
Spring 2022,Maluay Malatapay MPA,20.57,33.39,1.57,34.39,3.54
Summer 2022,Maluay Malatapay MPA,12.24,43.86,0.52,34.9,7.71
Autumn 2022,Maluay Malatapay MPA,8.86,34.73,0.86,36.45,7.68
Winter 22/23,Maluay Malatapay MPA,20.69,36.5,0.31,20.5,5.41
Spring 2023,Maluay Malatapay MPA,30.67,31.56,0.06,23.78,4.25
Summer 2023,Maluay Malatapay MPA,29.0,20.95,0.1,35.55,2.45
Autumn 2023,Maluay Malatapay MPA,36.33,27.47,0.6,27.27,2.07
Winter 23/24,Maluay Malatapay MPA,44.95,33.11,1.89,18.0,2.05
Spring 2024,Maluay Malatapay MPA,18.11,35.44,2.83,27.28,2.19
Summer 2024,Maluay Malatapay MPA,30.86,36.36,0.27,24.73,2.02
Autumn 2024,Maluay Malatapay MPA,25.88,32.75,0.69,25.19,1.44
Winter 24/25,Maluay Malatapay MPA,23.11,36.0,0.47,14.21,0.26
Spring 2025,Maluay Malatapay MPA,25.7,40.48,0.48,17.74,1.2
