Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Antulang,40.33,20,14.24,3.18,33.67,47.0,37.15,43.52,8.54,20,6.79,1.52,5.36,11.72,7.02,10.06,9.83,20,7.79,1.74,6.19,13.48,8.09,11.57,5.04,20,5.2,1.16,2.61,7.48,3.88,6.21,2.29,20,1.81,0.4,1.44,3.14,1.89,2.7
Spring/Summer 18,Antulang,27.87,34,12.06,2.07,23.66,32.07,25.8,29.94,7.84,34,6.59,1.13,5.54,10.14,6.71,8.97,22.35,34,9.92,1.7,18.89,25.81,20.65,24.05,6.0,34,6.05,1.04,3.9,8.11,4.97,7.04,0.76,34,1.57,0.27,0.21,1.31,0.49,1.03
Autumn/Winter 18/19,Antulang,28.49,27,9.7,1.87,24.65,32.32,26.62,30.35,9.6,27,11.33,2.18,5.12,14.08,7.42,11.78,20.74,27,10.2,1.96,16.71,24.78,18.78,22.7,5.31,27,3.14,0.6,4.07,6.55,4.71,5.91,2.16,27,3.15,0.61,0.92,3.4,1.56,2.77
Spring/Summer 19,Antulang,22.41,27,12.44,2.39,17.49,27.33,20.01,24.8,7.96,27,6.09,1.17,5.55,10.37,6.79,9.14,19.17,27,10.94,2.11,14.84,23.5,17.06,21.27,10.62,27,8.85,1.7,7.12,14.12,8.91,12.32,1.23,27,1.69,0.32,0.57,1.9,0.91,1.56
Autumn/Winter 19/20,Antulang,24.25,31,12.09,2.17,19.81,28.68,22.08,26.42,6.48,31,5.96,1.07,4.29,8.67,5.41,7.55,21.64,31,7.37,1.32,18.94,24.34,20.32,22.96,7.47,31,5.8,1.04,5.34,9.6,6.43,8.52,3.15,31,3.49,0.63,1.86,4.43,2.52,3.77
Spring/Summer 22,Antulang,22.86,16,13.71,3.43,15.56,30.17,19.44,26.29,6.2,16,4.76,1.19,3.66,8.74,5.01,7.39,26.3,16,10.92,2.73,20.48,32.12,23.57,29.03,5.36,16,5.14,1.28,2.63,8.1,4.08,6.65,6.77,16,4.82,1.2,4.2,9.34,5.57,7.98
Autumn/Winter 22/23,Antulang,17.74,24,8.34,1.7,14.22,21.27,16.04,19.45,6.53,24,4.25,0.87,4.73,8.32,5.66,7.39,24.51,24,10.43,2.13,20.11,28.92,22.39,26.64,7.53,24,4.76,0.97,5.53,9.54,6.56,8.51,8.89,24,8.82,1.8,5.16,12.61,7.09,10.69
Spring/Summer 23,Antulang,17.88,31,6.06,1.09,15.65,20.1,16.79,18.97,7.15,31,4.72,0.85,5.42,8.88,6.3,8.0,20.81,31,6.77,1.22,18.32,23.29,19.59,22.02,10.65,31,7.37,1.32,7.94,13.35,9.32,11.97,2.98,31,3.57,0.64,1.67,4.29,2.34,3.63
Autumn/Winter 23/24,Antulang,17.77,22,7.83,1.67,14.29,21.24,16.1,19.43,7.08,22,3.67,0.78,5.46,8.71,6.3,7.87,23.67,22,6.05,1.29,20.99,26.36,22.38,24.96,10.3,22,6.18,1.32,7.56,13.04,8.99,11.62,0.42,22,0.8,0.17,0.06,0.77,0.25,0.59
Spring/Summer 24,Antulang,20.14,35,9.94,1.68,16.73,23.56,18.46,21.82,6.26,35,5.24,0.89,4.46,8.06,5.38,7.15,23.57,35,7.65,1.29,20.94,26.2,22.28,24.86,8.17,35,6.53,1.1,5.92,10.41,7.06,9.27,2.05,35,1.93,0.33,1.38,2.71,1.72,2.37
Autumn/Winter 24/25,Antulang,22.86,28,8.69,1.64,19.49,26.23,21.22,24.5,6.7,28,5.67,1.07,4.5,8.89,5.63,7.77,18.84,28,8.68,1.64,15.48,22.2,17.2,20.48,8.42,28,5.2,0.98,6.4,10.44,7.44,9.41,1.13,28,1.73,0.33,0.46,1.8,0.8,1.46
Spring/Summer 25,Antulang,24.67,40,12.13,1.92,20.79,28.55,22.75,26.58,5.17,40,4.37,0.69,3.77,6.57,4.48,5.86,21.35,40,8.29,1.31,18.7,24.0,20.04,22.66,9.44,40,5.75,0.91,7.6,11.28,8.53,10.35,1.75,40,3.3,0.52,0.69,2.81,1.23,2.27
