Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Guinsuan MPA,24.05,22,14.2,3.03,17.76,30.35,21.02,27.08,5.57,22,16.45,3.51,0.0,12.86,2.06,9.07,11.82,22,10.27,2.19,7.26,16.37,9.63,14.01,3.52,22,3.61,0.77,1.92,5.12,2.75,4.29,1.74,22,3.31,0.71,0.27,3.21,1.04,2.45
Spring/Summer 18,Guinsuan MPA,18.33,25,8.13,1.63,14.98,21.69,16.71,19.96,0.47,25,0.99,0.2,0.06,0.88,0.27,0.67,12.23,25,6.0,1.2,9.76,14.71,11.03,13.43,2.0,25,2.56,0.51,0.94,3.06,1.49,2.51,1.23,25,1.72,0.34,0.52,1.94,0.89,1.58
Autumn/Winter 18/19,Guinsuan MPA,14.07,18,6.7,1.58,10.74,17.4,12.5,15.65,0.23,18,0.56,0.13,0.0,0.51,0.1,0.36,18.43,18,9.14,2.15,13.88,22.97,16.27,20.58,3.33,18,3.35,0.79,1.67,5.0,2.54,4.12,1.06,18,2.34,0.55,0.0,2.23,0.51,1.62
Spring/Summer 19,Guinsuan MPA,12.67,20,5.78,1.29,9.96,15.37,11.37,13.96,0.25,20,0.61,0.14,0.0,0.54,0.11,0.39,12.46,20,9.21,2.06,8.15,16.77,10.4,14.52,5.29,20,6.45,1.44,2.28,8.31,3.85,6.73,0.38,20,0.69,0.15,0.05,0.7,0.22,0.53
Autumn/Winter 19/20,Guinsuan MPA,13.09,24,8.2,1.67,9.63,16.55,11.42,14.76,0.45,24,0.92,0.19,0.06,0.84,0.26,0.64,18.85,24,5.6,1.14,16.49,21.22,17.71,20.0,7.47,24,6.55,1.34,4.7,10.23,6.13,8.8,0.8,24,1.58,0.32,0.13,1.47,0.48,1.12
Spring/Summer 21,Guinsuan MPA,15.28,6,5.52,2.25,9.49,21.07,13.02,17.53,0.56,6,0.68,0.28,0.0,1.27,0.28,0.83,12.36,6,4.93,2.01,7.19,17.53,10.35,14.37,8.33,6,2.53,1.03,5.68,10.99,7.3,9.37,2.22,6,2.22,0.9,0.0,4.55,1.32,3.13
Spring/Summer 22,Guinsuan MPA,19.12,33,8.23,1.43,16.2,22.03,17.68,20.55,0.35,33,0.81,0.14,0.07,0.64,0.21,0.49,16.26,33,6.68,1.16,13.9,18.63,15.1,17.42,4.65,33,3.66,0.64,3.35,5.94,4.01,5.28,5.66,33,5.17,0.9,3.82,7.49,4.76,6.56
Autumn/Winter 22/23,Guinsuan MPA,15.94,24,9.26,1.89,12.03,19.85,14.05,17.83,0.31,24,0.64,0.13,0.04,0.58,0.18,0.44,13.78,24,9.52,1.94,9.76,17.8,11.84,15.73,6.67,24,6.69,1.37,3.84,9.49,5.3,8.03,5.52,24,6.65,1.36,2.71,8.33,4.16,6.88
Spring/Summer 23,Guinsuan MPA,19.14,29,8.23,1.53,16.01,22.27,17.61,20.67,0.6,29,1.16,0.21,0.16,1.04,0.39,0.82,17.27,29,10.75,2.0,13.18,21.36,15.27,19.27,6.38,29,6.11,1.14,4.05,8.7,5.24,7.51,2.87,29,4.32,0.8,1.23,4.52,2.07,3.68
Autumn/Winter 23/24,Guinsuan MPA,20.78,15,10.05,2.59,15.21,26.34,18.18,23.37,0.17,15,0.47,0.12,0.0,0.43,0.05,0.29,13.61,15,6.85,1.77,9.81,17.41,11.84,15.38,8.72,15,6.94,1.79,4.88,12.57,6.93,10.51,0.61,15,0.97,0.25,0.07,1.15,0.36,0.86
Spring/Summer 24,Guinsuan MPA,14.03,12,4.78,1.38,10.99,17.06,12.65,15.41,0.49,12,0.83,0.24,0.0,1.01,0.25,0.73,17.85,12,10.3,2.97,11.31,24.39,14.88,20.82,5.28,12,4.88,1.41,2.18,8.38,3.87,6.69,2.01,12,2.83,0.82,0.22,3.81,1.2,2.83
Autumn/Winter 24/25,Guinsuan MPA,14.92,10,6.84,2.16,10.02,19.81,12.75,17.08,0.08,10,0.26,0.08,0.0,0.27,0.0,0.17,10.83,10,5.27,1.67,7.06,14.6,9.17,12.5,9.42,10,9.24,2.92,2.81,16.03,6.5,12.34,0.42,10,0.59,0.19,0.0,0.84,0.23,0.6
Spring/Summer 25,Guinsuan MPA,13.62,26,8.49,1.66,10.19,17.05,11.96,15.29,0.48,26,1.36,0.27,0.0,1.03,0.21,0.75,15.51,26,9.23,1.81,11.78,19.24,13.7,17.32,9.17,26,6.11,1.2,6.7,11.64,7.97,10.37,1.09,26,2.05,0.4,0.26,1.92,0.69,1.49
