Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Kookoos,42.54,22,19.64,4.19,33.83,51.25,38.35,46.73,22.58,22,14.8,3.15,16.02,29.14,19.42,25.73,6.86,22,6.04,1.29,4.18,9.53,5.57,8.14,5.19,22,6.63,1.41,2.25,8.13,3.78,6.6,3.03,22,2.69,0.57,1.84,4.22,2.46,3.6
Spring/Summer 18,Kookoos,39.14,33,12.47,2.17,34.72,43.56,36.97,41.31,22.65,33,19.58,3.41,15.71,29.6,19.24,26.06,12.53,33,9.49,1.65,9.16,15.89,10.87,14.18,3.43,33,4.2,0.73,1.94,4.92,2.7,4.17,5.3,33,7.62,1.33,2.6,8.0,3.98,6.63
Autumn/Winter 18/19,Kookoos,39.37,33,10.24,1.78,35.74,43.0,37.59,41.15,19.67,33,9.75,1.7,16.21,23.13,17.97,21.37,12.68,33,7.35,1.28,10.07,15.28,11.4,13.96,2.68,33,3.35,0.58,1.49,3.87,2.09,3.26,3.03,33,3.33,0.58,1.85,4.21,2.45,3.61
Spring/Summer 19,Kookoos,42.28,27,12.47,2.4,37.35,47.22,39.88,44.68,20.52,27,12.53,2.41,15.57,25.48,18.11,22.94,15.43,27,8.67,1.67,12.0,18.86,13.76,17.1,2.38,27,2.71,0.52,1.3,3.45,1.85,2.9,2.75,27,3.59,0.69,1.33,4.17,2.06,3.44
Autumn/Winter 19/20,Kookoos,38.19,30,12.28,2.24,33.61,42.78,35.95,40.44,20.78,30,11.82,2.16,16.36,25.19,18.62,22.94,12.08,30,5.17,0.94,10.15,14.01,11.14,13.03,4.36,30,5.26,0.96,2.4,6.33,3.4,5.32,4.19,30,4.18,0.76,2.63,5.75,3.43,4.96
Spring/Summer 22,Kookoos,44.93,35,9.13,1.54,41.79,48.06,43.39,46.47,16.14,35,8.83,1.49,13.11,19.18,14.65,17.64,12.05,35,6.57,1.11,9.79,14.31,10.94,13.16,4.55,35,5.29,0.89,2.73,6.37,3.65,5.44,13.1,35,9.76,1.65,9.74,16.45,11.45,14.75
Autumn/Winter 22/23,Kookoos,39.13,26,8.82,1.73,35.57,42.7,37.41,40.86,18.21,26,12.02,2.36,13.35,23.06,15.85,20.56,11.51,26,8.7,1.71,7.99,15.02,9.8,13.21,6.28,26,5.44,1.07,4.08,8.48,5.21,7.35,20.87,26,12.01,2.36,16.01,25.72,18.51,23.22
Spring/Summer 23,Kookoos,42.94,38,10.85,1.76,39.37,46.51,41.18,44.7,17.41,38,9.18,1.49,14.4,20.43,15.92,18.9,13.2,38,5.66,0.92,11.34,15.06,12.28,14.12,5.42,38,4.77,0.77,3.85,6.99,4.64,6.19,8.0,38,8.21,1.33,5.3,10.7,6.67,9.34
Autumn/Winter 23/24,Kookoos,40.45,33,10.57,1.84,36.71,44.2,38.61,42.29,12.93,33,7.49,1.3,10.27,15.59,11.63,14.23,18.48,33,7.45,1.3,15.84,21.13,17.19,19.78,8.51,33,6.9,1.2,6.06,10.96,7.31,9.71,0.76,33,1.09,0.19,0.37,1.14,0.57,0.95
Spring/Summer 24,Kookoos,42.66,31,11.57,2.08,38.42,46.91,40.58,44.74,14.95,31,9.67,1.74,11.4,18.49,13.21,16.68,16.61,31,7.32,1.32,13.93,19.3,15.3,17.93,4.35,31,4.01,0.72,2.88,5.83,3.63,5.08,5.62,31,7.49,1.35,2.87,8.37,4.27,6.96
Autumn/Winter 24/25,Kookoos,37.38,34,8.58,1.47,34.38,40.37,35.91,38.85,11.67,34,8.66,1.49,8.64,14.69,10.18,13.15,19.04,34,10.12,1.73,15.51,22.57,17.31,20.78,10.74,34,10.33,1.77,7.13,14.34,8.96,12.51,2.01,34,2.8,0.48,1.03,2.99,1.53,2.49
Spring/Summer 25,Kookoos,35.0,43,10.54,1.61,31.76,38.24,33.39,36.61,7.95,43,7.37,1.12,5.68,10.21,6.82,9.07,23.08,43,10.77,1.64,19.77,26.39,21.44,24.72,8.6,43,7.46,1.14,6.31,10.9,7.47,9.74,3.18,43,4.55,0.69,1.78,4.58,2.48,3.87
