Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Lutoban North MPA,37.56,26,20.27,3.98,29.38,45.75,33.59,41.54,15.48,26,20.72,4.06,7.11,23.85,11.42,19.54,10.06,26,7.85,1.54,6.89,13.24,8.52,11.6,8.72,26,7.75,1.52,5.59,11.85,7.2,10.24,3.04,26,3.52,0.69,1.62,4.47,2.35,3.74
Spring/Summer 18,Lutoban North MPA,29.57,27,15.08,2.9,23.6,35.53,26.67,32.47,4.44,27,3.71,0.71,2.98,5.91,3.73,5.16,18.24,27,11.73,2.26,13.6,22.88,15.98,20.5,5.71,27,4.88,0.94,3.78,7.64,4.77,6.65,0.68,27,1.08,0.21,0.25,1.11,0.47,0.89
Autumn/Winter 18/19,Lutoban North MPA,32.01,34,14.49,2.49,26.95,37.07,29.52,34.49,5.61,34,6.26,1.07,3.43,7.8,4.54,6.69,18.92,34,14.36,2.46,13.91,23.93,16.46,21.38,9.02,34,8.66,1.48,6.0,12.04,7.54,10.5,1.15,34,1.6,0.27,0.59,1.71,0.88,1.43
Spring/Summer 19,Lutoban North MPA,29.32,38,11.67,1.89,25.48,33.16,27.43,31.21,9.76,38,8.83,1.43,6.86,12.66,8.33,11.19,15.72,38,8.84,1.43,12.82,18.63,14.29,17.16,9.69,38,6.92,1.12,7.42,11.97,8.57,10.82,1.89,38,2.69,0.44,1.0,2.77,1.45,2.32
Autumn/Winter 19/20,Lutoban North MPA,28.71,40,11.73,1.85,24.96,32.46,26.85,30.56,6.08,40,3.57,0.56,4.94,7.22,5.52,6.65,18.0,40,7.21,1.14,15.7,20.3,16.86,19.14,9.31,40,6.29,0.99,7.3,11.32,8.32,10.31,5.25,40,5.26,0.83,3.57,6.93,4.42,6.08
Spring/Summer 21,Lutoban North MPA,32.12,13,13.84,3.84,23.75,40.48,28.28,35.95,9.17,13,10.97,3.04,2.54,15.79,6.13,12.21,11.67,13,6.36,1.77,7.82,15.51,9.9,13.43,8.14,13,4.87,1.35,5.2,11.09,6.79,9.49,9.36,13,7.77,2.16,4.66,14.06,7.2,11.52
Spring/Summer 22,Lutoban North MPA,26.18,46,11.61,1.71,22.73,29.63,24.47,27.89,13.01,46,14.44,2.13,8.72,17.3,10.88,15.14,20.24,46,9.7,1.43,17.35,23.12,18.81,21.67,9.42,46,6.39,0.94,7.52,11.32,8.48,10.36,7.48,46,5.85,0.86,5.74,9.22,6.62,8.34
Autumn/Winter 22/23,Lutoban North MPA,26.73,28,7.73,1.46,23.73,29.73,25.26,28.19,7.41,28,6.52,1.23,4.88,9.94,6.18,8.64,18.96,28,9.17,1.73,15.4,22.51,17.23,20.69,11.04,28,5.98,1.13,8.72,13.36,9.91,12.17,8.93,28,6.55,1.24,6.39,11.47,7.69,10.17
Spring/Summer 23,Lutoban North MPA,25.21,40,10.87,1.72,21.73,28.69,23.49,26.93,10.25,40,7.22,1.14,7.94,12.56,9.11,11.39,18.0,40,9.75,1.54,14.88,21.12,16.46,19.54,12.19,40,8.59,1.36,9.44,14.94,10.83,13.55,3.77,40,5.35,0.85,2.06,5.48,2.92,4.62
Autumn/Winter 23/24,Lutoban North MPA,18.45,28,7.17,1.36,15.67,21.23,17.1,19.81,9.64,28,7.47,1.41,6.75,12.54,8.23,11.05,20.45,28,8.06,1.52,17.32,23.57,18.92,21.97,18.01,28,9.26,1.75,14.42,21.6,16.26,19.76,1.01,28,1.73,0.33,0.34,1.68,0.68,1.34
Spring/Summer 24,Lutoban North MPA,23.08,33,10.45,1.82,19.38,26.79,21.26,24.9,9.44,33,6.73,1.17,7.06,11.83,8.27,10.62,18.46,33,8.8,1.53,15.34,21.58,16.93,19.99,10.93,33,8.0,1.39,8.1,13.77,9.54,12.33,2.32,33,2.8,0.49,1.33,3.32,1.84,2.81
Autumn/Winter 24/25,Lutoban North MPA,20.95,29,8.13,1.51,17.86,24.04,19.44,22.46,7.41,29,9.58,1.78,3.77,11.06,5.63,9.19,15.55,29,8.38,1.56,12.36,18.73,13.99,17.1,16.72,29,10.83,2.01,12.6,20.84,14.71,18.74,1.67,29,2.71,0.5,0.64,2.7,1.16,2.17
Spring/Summer 25,Lutoban North MPA,20.22,41,8.45,1.32,17.56,22.89,18.9,21.54,8.31,41,7.87,1.23,5.83,10.8,7.08,9.54,13.74,41,9.9,1.55,10.62,16.86,12.19,15.29,16.52,41,11.15,1.74,13.01,20.04,14.78,18.27,1.63,41,2.49,0.39,0.84,2.41,1.24,2.02
