Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Lutoban Pier,51.92,23,19.08,3.98,43.67,60.17,47.94,55.9,9.67,23,9.84,2.05,5.42,13.93,7.62,11.73,7.17,23,6.3,1.31,4.45,9.9,5.86,8.49,5.4,23,4.7,0.98,3.37,7.43,4.42,6.38,2.32,23,5.96,1.24,0.0,4.9,1.08,3.56
Spring/Summer 18,Lutoban Pier,49.93,36,14.65,2.44,44.97,54.89,47.49,52.37,6.9,36,7.14,1.19,4.48,9.31,5.71,8.09,10.0,36,7.59,1.27,7.43,12.57,8.73,11.27,4.17,36,5.03,0.84,2.47,5.87,3.33,5.0,5.28,36,7.84,1.31,2.63,7.93,3.97,6.58
Autumn/Winter 18/19,Lutoban Pier,39.83,34,15.47,2.65,34.43,45.23,37.17,42.48,10.64,34,7.15,1.23,8.14,13.13,9.41,11.86,17.21,34,12.17,2.09,12.96,21.45,15.12,19.29,3.21,34,4.36,0.75,1.69,4.73,2.46,3.96,4.09,34,8.46,1.45,1.14,7.04,2.64,5.54
Spring/Summer 19,Lutoban Pier,44.38,24,18.43,3.76,36.59,52.16,40.61,48.14,11.7,24,9.06,1.85,7.88,15.53,9.85,13.55,12.64,24,10.5,2.14,8.21,17.07,10.5,14.78,5.28,24,6.12,1.25,2.69,7.86,4.03,6.53,4.44,24,8.95,1.83,0.67,8.22,2.62,6.27
Autumn/Winter 19/20,Lutoban Pier,46.32,38,16.3,2.64,40.96,51.67,43.67,48.96,9.87,38,9.74,1.58,6.67,13.07,8.29,11.45,11.05,38,6.18,1.0,9.02,13.08,10.05,12.06,4.69,38,4.88,0.79,3.09,6.3,3.9,5.49,11.1,38,10.44,1.69,7.67,14.53,9.4,12.79
Spring/Summer 21,Lutoban Pier,48.83,5,26.35,11.78,16.12,81.55,37.05,60.62,9.17,5,4.56,2.04,3.5,14.83,7.13,11.21,9.17,5,12.02,5.37,0.0,24.09,3.79,14.54,5.67,5,5.05,2.26,0.0,11.94,3.41,7.92,17.0,5,19.73,8.83,0.0,41.5,8.17,25.83
Spring/Summer 22,Lutoban Pier,46.42,40,18.27,2.89,40.58,52.26,43.53,49.3,7.58,40,8.42,1.33,4.89,10.28,6.25,8.91,12.65,40,9.57,1.51,9.58,15.71,11.13,14.16,6.69,40,6.71,1.06,4.54,8.83,5.63,7.75,6.29,40,6.09,0.96,4.34,8.24,5.33,7.25
Autumn/Winter 22/23,Lutoban Pier,45.45,24,15.61,3.19,38.86,52.04,42.26,48.64,7.12,24,8.45,1.73,3.55,10.69,5.39,8.84,15.35,24,10.51,2.15,10.91,19.79,13.2,17.49,6.6,24,5.6,1.14,4.23,8.96,5.45,7.74,10.94,24,11.59,2.37,6.04,15.83,8.57,13.3
Spring/Summer 23,Lutoban Pier,43.61,39,18.48,2.96,37.62,49.6,40.65,46.57,10.41,39,8.07,1.29,7.79,13.02,9.11,11.7,9.57,39,5.85,0.94,7.68,11.47,8.64,10.51,9.68,39,8.55,1.37,6.91,12.45,8.31,11.05,3.78,39,6.39,1.02,1.71,5.86,2.76,4.81
Autumn/Winter 23/24,Lutoban Pier,38.18,28,14.24,2.69,32.66,43.71,35.49,40.88,9.91,28,7.04,1.33,7.18,12.64,8.58,11.24,16.87,28,7.59,1.43,13.93,19.82,15.44,18.31,9.7,28,8.77,1.66,6.3,13.1,8.04,11.36,1.07,28,2.17,0.41,0.23,1.91,0.66,1.48
Spring/Summer 24,Lutoban Pier,31.55,28,12.33,2.33,26.77,36.33,29.22,33.88,11.99,28,7.64,1.44,9.03,14.96,10.55,13.44,17.38,28,8.17,1.54,14.21,20.55,15.84,18.93,8.81,28,8.28,1.56,5.6,12.02,7.25,10.37,2.65,28,3.14,0.59,1.43,3.87,2.05,3.24
Autumn/Winter 24/25,Lutoban Pier,36.09,26,12.38,2.43,31.09,41.09,33.66,38.52,12.34,26,8.81,1.73,8.78,15.9,10.61,14.07,13.08,26,8.22,1.61,9.76,16.4,11.47,14.69,9.1,26,7.29,1.43,6.16,12.05,7.67,10.53,1.86,26,4.02,0.79,0.24,3.48,1.07,2.65
Spring/Summer 25,Lutoban Pier,34.23,41,14.3,2.23,29.71,38.74,31.99,36.46,8.98,41,7.03,1.1,6.76,11.2,7.89,10.08,14.78,41,6.56,1.02,12.71,16.85,13.75,15.8,12.32,41,8.56,1.34,9.62,15.02,10.98,13.65,1.93,41,3.92,0.61,0.69,3.17,1.32,2.54
