Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring/Summer 18,Lutoban South MPA,28.89,6,6.62,2.7,21.94,35.83,26.19,31.59,16.39,6,14.57,5.95,1.09,31.68,10.44,22.34,13.89,6,6.66,2.72,6.9,20.88,11.17,16.61,8.89,6,10.05,4.1,0.0,19.44,4.79,12.99,1.39,6,1.14,0.46,0.19,2.58,0.92,1.85
Autumn/Winter 19/20,Lutoban South MPA,28.12,24,11.86,2.42,23.12,33.13,25.7,30.55,15.24,24,11.46,2.34,10.4,20.08,12.9,17.58,12.22,24,6.67,1.36,9.41,15.04,10.86,13.58,9.44,24,6.71,1.37,6.61,12.28,8.08,10.81,6.39,24,8.85,1.81,2.65,10.12,4.58,8.19
Spring/Summer 21,Lutoban South MPA,43.33,1,,,,,,,12.5,1,,,,,,,11.67,1,,,,,,,4.17,1,,,,,,,19.17,1,,,,,,
Spring/Summer 22,Lutoban South MPA,18.38,33,9.49,1.65,15.02,21.75,16.73,20.04,16.69,33,12.42,2.16,12.29,21.09,14.53,18.85,23.84,33,11.53,2.01,19.75,27.93,21.83,25.85,7.98,33,8.0,1.39,5.14,10.82,6.59,9.37,8.76,33,8.7,1.52,5.68,11.85,7.25,10.28
Autumn/Winter 22/23,Lutoban South MPA,22.36,29,8.48,1.58,19.13,25.58,20.78,23.93,15.55,29,9.95,1.85,11.76,19.33,13.7,17.39,17.67,29,10.03,1.86,13.86,21.49,15.81,19.53,7.82,29,7.78,1.45,4.86,10.78,6.37,9.26,9.57,29,8.74,1.62,6.25,12.89,7.95,11.19
Spring/Summer 23,Lutoban South MPA,14.92,40,10.17,1.61,11.67,18.17,13.31,16.52,14.46,40,11.19,1.77,10.88,18.04,12.69,16.23,22.27,40,11.39,1.8,18.63,25.91,20.47,24.07,12.77,40,7.97,1.26,10.22,15.32,11.51,14.03,3.06,40,5.54,0.88,1.29,4.83,2.19,3.94
Autumn/Winter 23/24,Lutoban South MPA,13.42,28,6.46,1.22,10.92,15.93,12.2,14.64,13.93,28,14.2,2.68,8.42,19.44,11.24,16.61,20.86,28,12.27,2.32,16.11,25.62,18.54,23.18,17.65,28,11.14,2.11,13.33,21.97,15.54,19.75,1.67,28,2.74,0.52,0.6,2.73,1.15,2.18
Spring/Summer 24,Lutoban South MPA,15.97,30,6.56,1.2,13.52,18.42,14.77,17.17,17.72,30,9.76,1.78,14.08,21.37,15.94,19.5,17.47,30,10.34,1.89,13.61,21.33,15.58,19.36,10.58,30,8.74,1.59,7.32,13.85,8.99,12.18,2.36,30,3.5,0.64,1.05,3.67,1.72,3.0
Autumn/Winter 24/25,Lutoban South MPA,16.23,27,6.68,1.29,13.59,18.88,14.95,17.52,11.91,27,7.68,1.48,8.87,14.95,10.44,13.39,15.65,27,8.01,1.54,12.48,18.82,14.11,17.19,18.52,27,12.65,2.43,13.52,23.52,16.08,20.95,1.05,27,2.01,0.39,0.25,1.84,0.66,1.44
Spring/Summer 25,Lutoban South MPA,14.47,39,6.5,1.04,12.36,16.57,13.43,15.51,11.84,39,9.58,1.53,8.73,14.94,10.3,13.37,13.93,39,6.35,1.02,11.87,15.99,12.91,14.95,15.77,39,13.02,2.08,11.55,19.99,13.68,17.85,1.77,39,2.84,0.46,0.85,2.7,1.32,2.23
