Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Andulay MPA,43.18,27,17.77,3.42,36.15,50.21,39.76,46.6,6.11,27,6.18,1.19,3.67,8.56,4.92,7.3,8.86,27,9.11,1.75,5.25,12.46,7.1,10.61,12.38,27,11.42,2.2,7.86,16.89,10.18,14.57,5.93,27,6.7,1.29,3.28,8.58,4.64,7.22
Autumn 2017,Antulang,42.45,16,14.02,3.51,34.98,49.92,38.94,45.95,9.17,16,7.39,1.85,5.23,13.11,7.32,11.01,9.58,16,7.94,1.99,5.35,13.81,7.6,11.57,4.53,16,5.11,1.28,1.81,7.25,3.25,5.81,2.5,16,1.83,0.46,1.53,3.47,2.04,2.96
Autumn 2017,Basak Can-Unsang MPA,33.08,10,13.25,4.19,23.61,42.56,28.89,37.27,2.75,10,1.52,0.48,1.66,3.84,2.27,3.23,8.08,10,4.46,1.41,4.89,11.28,6.67,9.49,4.75,10,5.27,1.67,0.98,8.52,3.08,6.42,2.17,10,3.22,1.02,0.0,4.47,1.15,3.19
Autumn 2017,Guinsuan MPA,22.8,14,15.03,4.02,14.12,31.47,18.78,26.81,8.1,14,20.4,5.45,0.0,19.88,2.64,13.55,13.99,14,8.86,2.37,8.87,19.1,11.62,16.36,3.69,14,4.28,1.14,1.22,6.16,2.55,4.84,2.68,14,3.88,1.04,0.44,4.92,1.64,3.72
Autumn 2017,Kookoos,40.25,10,20.11,6.36,25.86,54.64,33.89,46.61,19.33,10,8.4,2.66,13.33,25.34,16.68,21.99,7.58,10,7.45,2.36,2.26,12.91,5.23,9.94,6.0,10,8.1,2.56,0.21,11.79,3.44,8.56,3.58,10,3.09,0.98,1.37,5.8,2.6,4.56
Autumn 2017,Lutoban North MPA,38.19,24,20.76,4.24,29.43,46.96,33.96,42.43,16.42,24,21.32,4.35,7.42,25.43,12.07,20.78,9.31,24,7.55,1.54,6.12,12.49,7.76,10.85,8.65,24,8.07,1.65,5.24,12.05,7.0,10.29,3.26,24,3.58,0.73,1.75,4.77,2.53,3.99
Autumn 2017,Lutoban Pier,48.14,13,16.81,4.66,37.98,58.3,43.48,52.8,11.6,13,11.19,3.1,4.84,18.36,8.5,14.71,8.59,13,6.49,1.8,4.67,12.51,6.79,10.39,6.28,13,5.3,1.47,3.08,9.48,4.81,7.75,2.95,13,7.7,2.14,0.0,7.6,0.81,5.09
Autumn 2017,Maluay Malatapay MPA,37.07,25,15.37,3.07,30.72,43.41,33.99,40.14,0.63,25,1.37,0.27,0.07,1.2,0.36,0.91,18.17,25,11.52,2.3,13.41,22.92,15.86,20.47,8.07,25,8.69,1.74,4.48,11.65,6.33,9.8,3.07,25,4.78,0.96,1.09,5.04,2.11,4.02
Winter 17/18,Lutoban Pier,56.83,10,21.57,6.82,41.4,72.27,50.01,63.66,7.17,10,7.58,2.4,1.75,12.59,4.77,9.56,5.33,10,5.84,1.85,1.15,9.51,3.49,7.18,4.25,10,3.74,1.18,1.58,6.92,3.07,5.43,1.5,10,2.54,0.8,0.0,3.32,0.7,2.3
Winter 17/18,Lutoban North MPA,30.0,2,15.32,10.83,0.0,167.65,19.17,40.83,4.17,2,1.18,0.83,0.0,14.76,3.33,5.0,19.17,2,7.07,5.0,0.0,82.7,14.17,24.17,9.58,2,1.77,1.25,0.0,25.47,8.33,10.83,0.42,2,0.59,0.42,0.0,5.71,0.0,0.83
Winter 17/18,Kookoos,44.44,12,19.93,5.75,31.78,57.1,38.69,50.2,25.28,12,18.51,5.34,13.52,37.04,19.93,30.62,6.25,12,4.83,1.39,3.18,9.32,4.86,7.64,4.51,12,5.39,1.56,1.09,7.94,2.96,6.07,2.57,12,2.34,0.68,1.08,4.06,1.89,3.25
