Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Andulay MPA,43.18,27,17.77,3.42,36.15,50.21,39.76,46.6,6.11,27,6.18,1.19,3.67,8.56,4.92,7.3,8.86,27,9.11,1.75,5.25,12.46,7.1,10.61,12.38,27,11.42,2.2,7.86,16.89,10.18,14.57,5.93,27,6.7,1.29,3.28,8.58,4.64,7.22
Winter 17/18,Andulay MPA,41.67,2,2.36,1.67,20.49,62.84,40.0,43.33,7.08,2,5.3,3.75,0.0,54.73,3.33,10.83,9.58,2,1.77,1.25,0.0,25.47,8.33,10.83,17.5,2,5.89,4.17,0.0,70.44,13.33,21.67,2.92,2,0.59,0.42,0.0,8.21,2.5,3.33
Spring 2018,Andulay MPA,44.08,20,15.63,3.5,36.77,51.4,40.59,47.58,3.29,20,2.5,0.56,2.12,4.46,2.73,3.85,16.12,20,10.18,2.28,11.36,20.89,13.85,18.4,7.42,20,5.45,1.22,4.87,9.97,6.2,8.63,2.17,20,1.99,0.45,1.23,3.1,1.72,2.61
Summer 2018,Andulay MPA,38.85,13,9.77,2.71,32.94,44.75,36.14,41.56,6.15,13,4.96,1.38,3.16,9.15,4.78,7.53,15.77,13,7.34,2.04,11.33,20.2,13.73,17.8,7.31,13,5.34,1.48,4.08,10.53,5.83,8.79,0.96,13,1.27,0.35,0.2,1.73,0.61,1.31
Autumn 2018,Andulay MPA,41.93,19,10.1,2.32,37.06,46.8,39.61,44.25,4.87,19,4.27,0.98,2.81,6.93,3.89,5.85,17.06,19,9.01,2.07,12.72,21.4,15.0,19.13,7.98,19,7.93,1.82,4.16,11.81,6.16,9.8,5.66,19,5.16,1.18,3.17,8.14,4.47,6.84
Winter 18/19,Andulay MPA,41.44,15,10.25,2.65,35.77,47.12,38.8,44.09,3.78,15,2.8,0.72,2.23,5.33,3.06,4.5,17.72,15,6.93,1.79,13.88,21.56,15.93,19.51,9.28,15,6.28,1.62,5.8,12.76,7.66,10.9,3.56,15,4.66,1.2,0.98,6.13,2.35,4.76
Spring 2019,Andulay MPA,42.98,19,9.44,2.17,38.43,47.53,40.82,45.15,5.26,19,5.56,1.28,2.58,7.94,3.99,6.54,16.49,19,7.07,1.62,13.08,19.9,14.87,18.11,12.24,19,11.08,2.54,6.89,17.58,9.69,14.78,4.43,19,3.8,0.87,2.6,6.26,3.56,5.3
Summer 2019,Andulay MPA,33.83,20,11.54,2.58,28.43,39.24,31.25,36.41,5.29,20,4.08,0.91,3.38,7.2,4.38,6.2,11.88,20,5.23,1.17,9.43,14.32,10.7,13.05,18.17,20,11.09,2.48,12.98,23.36,15.69,20.65,0.92,20,1.6,0.36,0.17,1.66,0.56,1.27
Autumn 2019,Andulay MPA,38.33,12,7.73,2.23,33.42,43.24,36.1,40.56,8.75,12,3.72,1.07,6.39,11.11,7.68,9.82,13.96,12,6.78,1.96,9.65,18.27,12.0,15.92,7.71,12,5.34,1.54,4.31,11.1,6.17,9.25,2.57,12,3.25,0.94,0.51,4.63,1.63,3.51
Winter 19/20,Andulay MPA,28.61,12,10.05,2.9,22.22,35.0,25.71,31.51,9.31,12,5.56,1.61,5.77,12.84,7.7,10.91,20.14,12,7.54,2.18,15.35,24.93,17.96,22.31,9.93,12,9.49,2.74,3.9,15.96,7.19,12.67,4.03,12,4.52,1.3,1.16,6.9,2.72,5.33
