Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Basak Can-Unsang MPA,32.88,3,0.84,0.48,30.8,34.95,32.39,33.36,2.06,3,1.8,1.04,-2.41,6.52,1.02,3.09,8.75,3,4.35,2.51,-2.06,19.56,6.24,11.26,6.12,3,4.91,2.83,-6.06,18.31,3.29,8.96,1.78,3,1.0,0.58,-0.72,4.27,1.2,2.36
Winter 17/18,Basak Can-Unsang MPA,36.27,3,5.3,3.06,23.11,49.43,33.21,39.33,5.97,3,0.43,0.25,4.89,7.05,5.72,6.22,4.47,3,5.08,2.94,-8.16,17.1,1.53,7.4,9.44,3,4.05,2.34,-0.61,19.5,7.11,11.78,2.41,3,2.26,1.31,-3.21,8.03,1.1,3.71
Spring 2018,Basak Can-Unsang MPA,25.13,5,6.14,2.75,17.5,32.75,22.38,27.87,10.02,5,11.46,5.13,-4.22,24.25,4.89,15.14,17.11,5,7.26,3.25,8.1,26.12,13.87,20.36,7.99,5,6.06,2.71,0.46,15.52,5.28,10.7,0.79,5,1.45,0.65,-1.01,2.58,0.14,1.43
Summer 2018,Basak Can-Unsang MPA,33.04,2,8.67,6.13,-44.87,110.94,26.9,39.17,2.56,2,3.62,2.56,-29.96,35.08,0.0,5.12,12.8,2,0.76,0.54,5.99,19.6,12.26,13.33,6.55,2,1.35,0.95,-5.55,18.65,5.6,7.5,2.08,2,0.59,0.42,-3.21,7.38,1.67,2.5
Autumn 2018,Basak Can-Unsang MPA,20.25,5,9.83,4.4,8.04,32.46,15.85,24.65,3.67,5,5.16,2.31,-2.74,10.07,1.36,5.97,10.92,5,3.29,1.47,6.84,15.0,9.45,12.39,10.83,5,5.6,2.5,3.88,17.78,8.33,13.34,0.75,5,1.12,0.5,-0.64,2.14,0.25,1.25
Winter 18/19,Basak Can-Unsang MPA,19.73,5,5.38,2.41,13.05,26.42,17.33,22.14,1.44,5,1.18,0.53,-0.02,2.9,0.91,1.96,20.14,5,10.61,4.75,6.96,33.31,15.39,24.88,15.21,5,7.33,3.28,6.11,24.3,11.93,18.48,0.9,5,0.85,0.38,-0.15,1.95,0.52,1.28
Spring 2019,Basak Can-Unsang MPA,23.5,5,8.83,3.95,12.53,34.47,19.55,27.45,4.04,5,6.97,3.12,-4.61,12.69,0.93,7.16,11.29,5,4.86,2.18,5.25,17.33,9.12,13.47,13.42,5,8.94,4.0,2.32,24.52,9.42,17.41,0.42,5,0.59,0.26,-0.31,1.15,0.15,0.68
Summer 2019,Basak Can-Unsang MPA,19.31,4,5.46,2.73,10.63,27.99,16.58,22.03,2.22,4,1.55,0.78,-0.25,4.7,1.44,3.0,12.36,4,2.69,1.34,8.08,16.64,11.02,13.71,15.97,4,3.66,1.83,10.15,21.8,14.14,17.8,0.9,4,0.8,0.4,-0.37,2.17,0.5,1.3
Autumn 2019,Basak Can-Unsang MPA,29.22,3,2.15,1.24,23.88,34.55,27.98,30.46,3.48,3,0.87,0.5,1.31,5.66,2.98,3.99,10.96,3,7.5,4.33,-7.68,29.6,6.63,15.29,7.78,3,2.68,1.55,1.12,14.43,6.23,9.32,2.2,3,2.09,1.21,-3.0,7.4,0.99,3.41
Winter 19/20,Basak Can-Unsang MPA,22.56,5,3.03,1.36,18.79,26.32,21.2,23.91,2.56,5,2.77,1.24,-0.89,6.0,1.32,3.8,11.83,5,4.02,1.8,6.84,16.83,10.03,13.63,7.56,5,7.56,3.38,-1.83,16.95,4.17,10.94,1.22,5,0.85,0.38,0.16,2.28,0.84,1.6
