Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Guinsuan MPA,21.85,5,6.41,2.87,13.88,29.81,18.98,24.72,11.24,5,24.7,11.05,-19.43,41.9,0.19,22.28,13.68,5,4.45,1.99,8.15,19.21,11.69,15.67,3.86,5,1.94,0.87,1.45,6.27,2.99,4.73,2.35,5,2.11,0.94,-0.27,4.96,1.41,3.29
Winter 17/18,Guinsuan MPA,26.39,3,7.56,4.37,7.61,45.17,22.02,30.75,1.06,3,1.5,0.86,-2.66,4.79,0.2,1.93,9.58,3,10.91,6.3,-17.53,36.7,3.28,15.88,3.15,3,0.89,0.52,0.93,5.37,2.63,3.66,0.14,3,0.24,0.14,-0.46,0.74,-0.0,0.28
Spring 2018,Guinsuan MPA,18.31,4,4.66,2.33,10.89,25.74,15.98,20.64,0.1,4,0.21,0.1,-0.23,0.44,0.0,0.21,14.02,4,1.53,0.77,11.58,16.46,13.25,14.79,2.31,4,0.22,0.11,1.96,2.66,2.2,2.42,0.9,4,0.81,0.41,-0.4,2.19,0.49,1.3
Summer 2018,Guinsuan MPA,16.46,4,6.3,3.15,6.43,26.49,13.31,19.61,0.45,4,0.52,0.26,-0.38,1.29,0.19,0.71,14.97,4,7.54,3.77,2.97,26.97,11.19,18.74,2.15,4,2.07,1.04,-1.15,5.45,1.12,3.19,1.22,4,1.1,0.55,-0.53,2.96,0.67,1.76
Autumn 2018,Guinsuan MPA,12.92,3,3.25,1.88,4.83,21.0,11.04,14.8,0.42,3,0.42,0.24,-0.62,1.45,0.18,0.66,16.94,3,3.78,2.18,7.55,26.34,14.76,19.13,5.42,3,3.25,1.88,-2.67,13.5,3.54,7.3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
Winter 18/19,Guinsuan MPA,13.29,4,2.64,1.32,9.09,17.48,11.97,14.61,0.21,4,0.42,0.21,-0.45,0.87,0.0,0.42,21.47,4,5.03,2.51,13.47,29.47,18.96,23.99,3.33,4,3.1,1.55,-1.6,8.27,1.78,4.88,2.11,4,3.15,1.58,-2.9,7.13,0.54,3.69
Spring 2019,Guinsuan MPA,12.21,5,3.36,1.5,8.04,16.38,10.71,13.71,0.73,5,1.04,0.47,-0.56,2.03,0.27,1.2,11.72,5,4.32,1.93,6.36,17.09,9.79,13.66,6.58,5,5.12,2.29,0.21,12.94,4.28,8.87,0.22,5,0.31,0.14,-0.17,0.6,0.08,0.36
Summer 2019,Guinsuan MPA,13.94,3,1.65,0.95,9.85,18.02,12.99,14.89,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,11.41,3,2.31,1.33,5.67,17.16,10.08,12.75,7.06,3,5.68,3.28,-7.06,21.18,3.78,10.34,0.25,3,0.28,0.16,-0.44,0.95,0.09,0.42
Autumn 2019,Guinsuan MPA,15.35,3,7.13,4.12,-2.37,33.07,11.23,19.47,0.58,3,0.58,0.34,-0.87,2.03,0.24,0.91,17.48,3,0.57,0.33,16.07,18.88,17.15,17.8,7.85,3,2.29,1.32,2.17,13.52,6.53,9.17,0.97,3,1.68,0.97,-3.21,5.16,0.0,1.94
Winter 19/20,Guinsuan MPA,14.62,8,7.36,2.6,8.46,20.77,12.01,17.22,0.35,8,0.61,0.21,-0.16,0.86,0.13,0.56,18.44,8,5.5,1.95,13.84,23.04,16.49,20.38,6.6,8,5.65,2.0,1.88,11.32,4.6,8.59,1.25,8,1.99,0.7,-0.42,2.92,0.55,1.95
Spring 2021,Guinsuan MPA,15.28,3,4.83,2.79,3.28,27.27,12.49,18.07,0.56,3,0.24,0.14,-0.04,1.15,0.42,0.69,12.36,3,1.88,1.08,7.69,17.03,11.28,13.45,8.33,3,0.72,0.42,6.54,10.13,7.92,8.75,2.22,3,0.87,0.5,0.07,4.38,1.72,2.72
Spring 2022,Guinsuan MPA,16.81,3,2.77,1.6,9.91,23.7,15.2,18.41,0.21,3,0.21,0.12,-0.31,0.73,0.09,0.33,20.02,3,3.73,2.15,10.76,29.29,17.87,22.18,5.79,3,0.49,0.28,4.58,7.0,5.51,6.07,2.13,3,0.8,0.46,0.14,4.12,1.67,2.59
Summer 2022,Guinsuan MPA,19.3,7,5.31,2.01,14.39,24.22,17.3,21.31,0.26,7,0.29,0.11,-0.01,0.53,0.15,0.37,15.32,7,4.28,1.62,11.36,19.28,13.7,16.94,3.91,7,2.47,0.93,1.62,6.2,2.98,4.85,6.39,7,3.73,1.41,2.94,9.84,4.98,7.8
Autumn 2022,Guinsuan MPA,19.35,4,6.88,3.44,8.4,30.29,15.91,22.79,0.25,4,0.4,0.2,-0.38,0.88,0.05,0.45,8.95,4,1.57,0.78,6.46,11.44,8.17,9.73,4.47,4,4.36,2.18,-2.47,11.42,2.29,6.65,5.15,4,3.84,1.92,-0.96,11.25,3.23,7.06
