Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Kookoos,40.25,10,20.11,6.36,25.86,54.64,33.89,46.61,19.33,10,8.4,2.66,13.33,25.34,16.68,21.99,7.58,10,7.45,2.36,2.26,12.91,5.23,9.94,6.0,10,8.1,2.56,0.21,11.79,3.44,8.56,3.58,10,3.09,0.98,1.37,5.8,2.6,4.56
Winter 17/18,Kookoos,44.44,12,19.93,5.75,31.78,57.1,38.69,50.2,25.28,12,18.51,5.34,13.52,37.04,19.93,30.62,6.25,12,4.83,1.39,3.18,9.32,4.86,7.64,4.51,12,5.39,1.56,1.09,7.94,2.96,6.07,2.57,12,2.34,0.68,1.08,4.06,1.89,3.25
Spring 2018,Kookoos,40.07,25,12.03,2.41,35.1,45.03,37.66,42.47,14.4,25,12.49,2.5,9.24,19.56,11.9,16.9,14.5,25,9.68,1.94,10.5,18.5,12.56,16.44,4.23,25,4.38,0.88,2.42,6.04,3.36,5.11,2.37,25,2.9,0.58,1.17,3.57,1.79,2.95
Summer 2018,Kookoos,36.25,8,14.2,5.02,24.38,48.12,31.23,41.27,48.44,8,14.68,5.19,36.17,60.71,43.25,53.63,6.35,8,5.72,2.02,1.57,11.14,4.33,8.38,0.94,8,2.33,0.82,0.0,2.89,0.11,1.76,14.48,8,10.46,3.7,5.74,23.22,10.78,18.18
Autumn 2018,Kookoos,34.5,15,7.89,2.04,30.13,38.87,32.46,36.54,21.28,15,9.97,2.57,15.76,26.8,18.7,23.85,12.94,15,6.76,1.75,9.2,16.69,11.2,14.69,2.94,15,2.38,0.61,1.63,4.26,2.33,3.56,4.61,15,3.64,0.94,2.59,6.63,3.67,5.55
Winter 18/19,Kookoos,43.43,18,10.38,2.45,38.27,48.59,40.98,45.87,18.33,18,9.64,2.27,13.54,23.13,16.06,20.61,12.45,18,8.0,1.89,8.48,16.43,10.57,14.34,2.45,18,4.05,0.95,0.44,4.47,1.5,3.41,1.71,18,2.42,0.57,0.51,2.91,1.14,2.28
Spring 2019,Kookoos,44.17,15,14.69,3.79,36.03,52.3,40.37,47.96,20.78,15,12.17,3.14,14.04,27.52,17.64,23.92,16.11,15,10.84,2.8,10.11,22.11,13.31,18.91,2.0,15,2.2,0.57,0.78,3.22,1.43,2.57,2.28,15,3.61,0.93,0.28,4.28,1.35,3.21
Summer 2019,Kookoos,39.93,12,9.06,2.61,34.18,45.68,37.32,42.54,20.21,12,13.51,3.9,11.62,28.79,16.31,24.11,14.58,12,5.18,1.5,11.29,17.87,13.09,16.08,2.85,12,3.28,0.95,0.76,4.93,1.9,3.8,3.33,12,3.64,1.05,1.02,5.65,2.28,4.38
Autumn 2019,Kookoos,36.67,17,7.79,1.89,32.66,40.67,34.78,38.56,25.0,17,11.45,2.78,19.11,30.89,22.22,27.78,10.93,17,5.46,1.32,8.13,13.74,9.61,12.25,3.53,17,4.92,1.19,1.0,6.06,2.34,4.72,2.6,17,2.93,0.71,1.09,4.1,1.89,3.31
Winter 19/20,Kookoos,40.19,13,16.62,4.61,30.15,50.23,35.58,44.8,15.26,13,10.23,2.84,9.07,21.44,12.42,18.09,13.59,13,4.53,1.26,10.85,16.33,12.33,14.85,5.45,13,5.69,1.58,2.01,8.89,3.87,7.03,6.28,13,4.73,1.31,3.42,9.14,4.97,7.59
Spring 2022,Kookoos,47.45,18,9.18,2.16,42.89,52.02,45.29,49.62,14.44,18,8.89,2.1,10.02,18.86,12.35,16.54,11.67,18,5.46,1.29,8.95,14.38,10.38,12.95,3.89,18,4.96,1.17,1.42,6.35,2.72,5.06,12.36,18,10.96,2.58,6.91,17.81,9.78,14.95
Summer 2022,Kookoos,42.25,17,8.52,2.07,37.87,46.64,40.19,44.32,17.94,17,8.67,2.1,13.49,22.4,15.84,20.04,12.45,17,7.73,1.87,8.48,16.43,10.58,14.33,5.25,17,5.69,1.38,2.32,8.17,3.87,6.62,13.87,17,8.57,2.08,9.46,18.28,11.79,15.95
Autumn 2022,Kookoos,40.64,13,7.57,2.1,36.07,45.22,38.54,42.74,16.99,13,12.38,3.43,9.51,24.47,13.55,20.42,8.85,13,9.1,2.52,3.35,14.35,6.32,11.37,5.83,13,6.62,1.84,1.83,9.84,4.0,7.67,22.37,13,10.81,3.0,15.84,28.9,19.37,25.37
Winter 22/23,Kookoos,37.63,13,9.99,2.77,31.59,43.66,34.86,40.4,19.42,13,12.01,3.33,12.17,26.68,16.09,22.75,14.17,13,7.72,2.14,9.5,18.83,12.03,16.31,6.73,13,4.17,1.16,4.21,9.25,5.57,7.89,19.36,13,13.37,3.71,11.28,27.44,15.65,23.07
Spring 2023,Kookoos,41.53,18,8.49,2.0,37.31,45.75,39.53,43.53,17.96,18,7.4,1.74,14.28,21.64,16.22,19.71,15.37,18,3.95,0.93,13.4,17.34,14.44,16.3,4.86,18,3.73,0.88,3.01,6.72,3.98,5.74,13.84,18,7.81,1.84,9.96,17.73,12.0,15.68
Summer 2023,Kookoos,44.21,20,12.7,2.84,38.26,50.15,41.37,47.05,16.92,20,10.7,2.39,11.91,21.93,14.52,19.31,11.25,20,6.33,1.41,8.29,14.21,9.84,12.66,5.92,20,5.6,1.25,3.3,8.54,4.66,7.17,2.75,20,3.93,0.88,0.91,4.59,1.87,3.63
Autumn 2023,Kookoos,41.31,14,11.37,3.04,34.74,47.88,38.27,44.35,10.83,14,7.18,1.92,6.69,14.98,8.92,12.75,13.93,14,6.07,1.62,10.43,17.43,12.31,15.55,10.71,14,6.84,1.83,6.77,14.66,8.89,12.54,0.83,14,1.22,0.33,0.13,1.54,0.51,1.16
Winter 23/24,Kookoos,39.82,19,10.21,2.34,34.9,44.74,37.48,42.17,14.47,19,7.53,1.73,10.85,18.1,12.75,16.2,21.84,19,6.63,1.52,18.65,25.04,20.32,23.36,6.89,19,6.66,1.53,3.68,10.1,5.36,8.41,0.7,19,1.01,0.23,0.21,1.19,0.47,0.93
Spring 2024,Kookoos,39.08,19,10.89,2.5,33.83,44.33,36.58,41.58,17.11,19,10.65,2.44,11.97,22.24,14.66,19.55,18.29,19,7.48,1.72,14.69,21.89,16.57,20.0,4.52,19,3.36,0.77,2.9,6.14,3.75,5.29,4.08,19,6.34,1.45,1.02,7.13,2.62,5.53
Summer 2024,Kookoos,48.33,12,10.67,3.08,41.55,55.11,45.25,51.41,11.53,12,6.98,2.01,7.09,15.96,9.51,13.54,13.96,12,6.5,1.88,9.83,18.09,12.08,15.83,4.1,12,5.03,1.45,0.9,7.29,2.64,5.55,8.06,12,8.76,2.53,2.49,13.62,5.53,10.58
Autumn 2024,Kookoos,39.79,16,7.67,1.92,35.7,43.88,37.87,41.71,10.68,16,8.83,2.21,5.97,15.38,8.47,12.88,16.56,16,8.49,2.12,12.04,21.09,14.44,18.69,13.23,16,13.37,3.34,6.11,20.35,9.89,16.57,2.4,16,1.85,0.46,1.41,3.38,1.93,2.86
Winter 24/25,Kookoos,35.23,18,8.97,2.12,30.77,39.69,33.12,37.35,12.55,18,8.66,2.04,8.24,16.85,10.5,14.59,21.25,18,11.14,2.63,15.71,26.79,18.62,23.88,8.52,18,6.19,1.46,5.44,11.6,7.06,9.98,1.67,18,3.45,0.81,0.0,3.38,0.85,2.48
