Period,Site,Bleaching,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover
Spring 2022,Latason MPA,0.0,8.12,14.17,15.21,18.54
Summer 2022,Latason MPA,3.89,7.08,20.83,14.03,25.0
Autumn 2022,Latason MPA,7.4,9.17,13.02,10.94,24.38
Winter 22/23,Latason MPA,3.89,11.11,15.74,8.89,27.13
Spring 2023,Latason MPA,6.46,10.56,17.78,13.54,24.24
Summer 2023,Latason MPA,5.21,16.67,13.65,10.94,22.92
Autumn 2023,Latason MPA,1.77,13.02,15.42,12.71,25.73
Winter 23/24,Latason MPA,1.06,10.15,22.5,8.71,22.35
Spring 2024,Latason MPA,0.0,11.5,17.5,12.17,25.33
Summer 2024,Latason MPA,1.04,3.33,18.44,15.0,18.44
Autumn 2024,Latason MPA,0.12,11.67,21.07,5.48,15.24
Winter 24/25,Latason MPA,0.75,12.75,22.08,9.0,17.75
Spring 2025,Latason MPA,0.96,7.69,19.55,4.1,23.53
Summer 2025,Latason MPA,0.77,10.77,17.98,9.05,23.45
