Period,Site,Bleaching,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover
Autumn 2017,MASAPLOD NORTE MPA,4.72,1.94,10.36,5.4,37.3
Winter 17/18,MASAPLOD NORTE MPA,0.21,2.5,23.33,5.21,27.29
Spring 2018,MASAPLOD NORTE MPA,0.37,2.31,18.1,5.32,30.28
Summer 2018,MASAPLOD NORTE MPA,0.83,3.52,14.63,9.07,20.28
Autumn 2018,MASAPLOD NORTE MPA,3.03,2.76,17.5,8.55,27.72
Winter 18/19,MASAPLOD NORTE MPA,0.99,3.44,13.65,8.39,29.74
Spring 2019,MASAPLOD NORTE MPA,0.99,5.95,15.44,8.73,26.71
Summer 2019,MASAPLOD NORTE MPA,0.44,7.35,13.97,7.16,25.1
Autumn 2019,MASAPLOD NORTE MPA,4.24,2.92,14.44,10.76,29.44
Winter 19/20,MASAPLOD NORTE MPA,2.64,4.17,10.42,9.58,30.69
Summer 2022,MASAPLOD NORTE MPA,5.77,5.54,16.13,8.57,35.71
Autumn 2022,MASAPLOD NORTE MPA,17.08,11.32,9.31,7.22,28.96
Winter 22/23,MASAPLOD NORTE MPA,10.37,15.09,12.59,9.17,19.07
