Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring 2019,Salag MPA,25.42,14,13.95,3.73,17.36,33.47,21.69,29.15,26.07,14,19.28,5.15,14.94,37.2,20.92,31.22,21.49,14,12.44,3.33,14.3,28.67,18.16,24.81,1.25,14,1.49,0.4,0.39,2.11,0.85,1.65,4.46,14,5.11,1.37,1.51,7.42,3.1,5.83
Summer 2019,Salag MPA,30.38,11,10.72,3.23,23.18,37.58,27.15,33.61,28.41,11,12.52,3.78,19.99,36.82,24.63,32.19,8.48,11,4.67,1.41,5.35,11.62,7.08,9.89,4.02,11,3.39,1.02,1.74,6.29,2.99,5.04,0.61,11,1.06,0.32,0.0,1.32,0.29,0.93
Autumn 2019,Salag MPA,35.76,11,11.82,3.56,27.82,43.7,32.19,39.32,25.38,11,12.77,3.85,16.8,33.96,21.53,29.23,7.12,11,5.03,1.52,3.74,10.5,5.6,8.64,3.86,11,3.75,1.13,1.34,6.38,2.73,4.99,13.03,11,6.92,2.09,8.38,17.68,10.94,15.12
Winter 19/20,Salag MPA,29.58,14,16.4,4.38,20.11,39.05,25.2,33.97,27.26,14,9.74,2.6,21.64,32.88,24.66,29.86,16.19,14,10.48,2.8,10.14,22.24,13.39,18.99,4.29,14,4.75,1.27,1.55,7.03,3.02,5.55,3.45,14,4.52,1.21,0.85,6.06,2.25,4.66
Summer 2022,Salag MPA,31.94,12,15.33,4.43,22.2,41.68,27.52,36.37,27.36,12,17.2,4.96,16.44,38.29,22.4,32.33,13.4,12,9.45,2.73,7.4,19.41,10.67,16.13,2.99,12,3.0,0.87,1.08,4.89,2.12,3.85,8.19,12,7.27,2.1,3.57,12.81,6.1,10.29
Autumn 2022,Salag MPA,33.06,12,12.37,3.57,25.2,40.91,29.49,36.63,23.54,12,12.01,3.47,15.91,31.17,20.07,27.01,8.26,12,9.38,2.71,2.3,14.23,5.55,10.97,4.86,12,4.78,1.38,1.83,7.9,3.48,6.24,18.13,12,8.73,2.52,12.58,23.67,15.61,20.64
Winter 22/23,Salag MPA,28.15,14,11.02,2.95,21.79,34.52,25.21,31.1,22.02,14,16.82,4.5,12.31,31.74,17.53,26.52,7.98,14,4.61,1.23,5.32,10.64,6.74,9.21,7.26,14,6.45,1.72,3.54,10.99,5.54,8.99,11.13,14,11.48,3.07,4.5,17.76,8.06,14.2
Spring 2023,Salag MPA,30.88,17,12.38,3.0,24.52,37.25,27.88,33.88,24.22,17,8.42,2.04,19.89,28.54,22.17,26.26,12.89,17,4.88,1.18,10.38,15.4,11.71,14.08,4.41,17,4.98,1.21,1.85,6.97,3.2,5.62,12.45,17,8.31,2.02,8.18,16.73,10.43,14.47
Summer 2023,Salag MPA,38.12,20,11.96,2.68,32.53,43.72,35.45,40.8,20.67,20,10.52,2.35,15.74,25.59,18.31,23.02,6.71,20,5.05,1.13,4.35,9.07,5.58,7.84,7.83,20,7.7,1.72,4.23,11.44,6.11,9.56,4.12,20,7.13,1.59,0.79,7.46,2.53,5.72
Autumn 2023,Salag MPA,33.96,12,11.42,3.3,26.71,41.21,30.66,37.25,21.67,12,13.54,3.91,13.06,30.27,17.76,25.58,12.36,12,9.75,2.81,6.17,18.56,9.55,15.18,5.07,12,4.97,1.43,1.91,8.23,3.64,6.5,1.46,12,1.95,0.56,0.22,2.7,0.9,2.02
