Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Andulay MPA,34.4,29.4,17.27,62.33,59.07,236.0,130.33,29.79,24.37
Autumn 2018,Andulay MPA,35.43,25.43,36.0,56.57,83.86,697.47,110.76,12.09,6.52
Autumn 2019,Andulay MPA,23.7,19.7,17.0,39.8,85.6,287.62,151.5,20.58,13.78
Autumn 2022,Andulay MPA,26.45,22.36,42.0,210.36,1475.82,260.86,172.57,23.23,16.72
Autumn 2023,Andulay MPA,19.5,21.5,23.17,175.5,815.33,266.5,23.0,3.65,1.87
Autumn 2024,Andulay MPA,11.46,12.23,12.69,99.62,710.46,219.17,141.5,9.37,7.91
Spring 2018,Andulay MPA,32.88,24.25,19.12,92.5,94.12,185.8,96.4,3.59,2.4
Spring 2019,Andulay MPA,55.67,36.33,47.5,76.33,292.67,457.4,112.6,11.42,6.25
Spring 2022,Andulay MPA,13.83,10.17,15.5,43.5,1236.33,670.82,76.36,11.77,3.67
Spring 2023,Andulay MPA,14.94,13.44,17.06,52.69,536.12,686.08,141.62,16.38,8.25
Spring 2024,Andulay MPA,13.3,16.6,16.7,200.5,757.9,182.2,115.2,8.61,7.33
Spring 2025,Andulay MPA,10.79,9.16,12.63,87.79,588.63,799.65,57.06,11.95,3.94
Summer 2018,Andulay MPA,10.06,6.72,5.06,27.83,33.17,2665.43,1186.57,85.25,67.88
Summer 2019,Andulay MPA,40.22,28.89,45.22,60.33,184.89,213.42,161.5,9.85,8.61
Summer 2022,Andulay MPA,17.73,11.73,19.87,138.67,735.47,898.92,183.5,13.45,8.27
Summer 2023,Andulay MPA,18.18,18.27,22.09,144.73,839.64,894.72,227.17,29.2,18.56
Summer 2024,Andulay MPA,16.4,17.9,19.3,133.2,926.7,777.83,690.5,83.34,79.85
Summer 2025,Andulay MPA,10.63,13.47,16.47,135.37,686.11,531.75,59.75,19.74,12.2
Winter 17/18,Andulay MPA,25.4,16.4,25.6,60.2,54.6,805.0,454.83,92.05,59.5
Winter 18/19,Andulay MPA,40.83,20.83,35.5,61.17,134.33,482.08,35.25,4.64,1.33
Winter 19/20,Andulay MPA,43.43,22.86,42.71,75.57,223.14,549.47,95.53,10.45,3.39
Winter 22/23,Andulay MPA,13.62,15.08,20.69,107.08,832.08,617.0,286.0,58.93,47.51
Winter 23/24,Andulay MPA,19.53,18.76,12.76,122.0,626.59,516.36,84.5,11.41,7.44
Winter 24/25,Andulay MPA,11.28,9.83,16.39,86.89,583.39,191.83,102.17,12.73,9.89
