Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Guinsuan MPA,21.22,21.67,11.78,31.56,61.78,202.47,104.73,22.76,16.98
Autumn 2018,Guinsuan MPA,51.33,50.83,21.5,106.67,156.83,688.25,112.75,19.83,12.13
Autumn 2019,Guinsuan MPA,29.0,63.5,17.9,20.8,64.8,445.2,389.6,10.57,9.75
Autumn 2022,Guinsuan MPA,28.86,35.86,22.43,133.43,867.57,212.08,126.08,26.66,20.31
Autumn 2023,Guinsuan MPA,9.8,13.2,6.0,72.6,299.6,924.44,180.22,16.13,9.6
Autumn 2024,Guinsuan MPA,7.31,13.69,6.92,47.92,348.46,299.0,153.0,13.25,9.26
Spring 2018,Guinsuan MPA,21.75,41.12,9.75,42.38,66.5,217.45,138.25,5.23,4.3
Spring 2019,Guinsuan MPA,49.62,49.75,25.75,48.38,194.88,474.64,88.14,12.0,6.58
Spring 2023,Guinsuan MPA,20.47,32.4,11.33,67.4,594.13,872.36,196.0,41.04,27.33
Spring 2024,Guinsuan MPA,11.0,31.0,9.38,85.75,588.25,896.59,349.41,39.51,34.48
Spring 2025,Guinsuan MPA,8.17,25.42,6.0,68.92,790.42,827.25,261.25,16.61,8.13
Summer 2018,Guinsuan MPA,32.64,31.18,12.0,30.91,70.18,93.58,46.08,4.26,2.97
Summer 2019,Guinsuan MPA,44.5,34.62,22.0,62.0,50.25,386.6,322.1,24.89,19.87
Summer 2022,Guinsuan MPA,15.15,35.69,17.31,112.92,808.08,515.58,41.37,9.36,3.46
Summer 2023,Guinsuan MPA,13.67,19.33,13.67,76.27,715.27,1231.38,376.88,23.35,15.45
Summer 2024,Guinsuan MPA,10.0,23.71,5.71,109.0,469.29,100.38,54.12,5.26,2.95
Summer 2025,Guinsuan MPA,10.79,22.79,12.14,108.64,1034.93,562.94,57.78,13.64,5.31
Winter 17/18,Guinsuan MPA,16.5,16.75,6.25,75.0,35.75,157.12,75.38,9.54,6.02
Winter 18/19,Guinsuan MPA,53.0,60.67,30.17,85.0,231.5,615.14,139.71,11.93,6.16
Winter 19/20,Guinsuan MPA,23.29,50.71,17.86,72.0,136.71,530.76,31.0,11.04,1.21
Winter 22/23,Guinsuan MPA,12.09,12.73,9.27,49.45,416.27,298.0,176.29,11.6,7.88
Winter 23/24,Guinsuan MPA,13.82,26.64,10.73,85.36,667.55,1189.29,301.57,31.46,22.49
Winter 24/25,Guinsuan MPA,10.33,14.0,11.58,70.0,425.83,617.67,86.07,12.97,5.08
