Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Kookoos,39.33,20.33,40.0,56.33,104.33,229.25,181.17,26.09,24.26
Autumn 2018,Kookoos,30.43,36.86,25.71,42.43,228.57,899.0,152.0,56.32,47.11
Autumn 2019,Kookoos,28.7,20.9,18.3,23.2,114.2,1072.0,111.33,15.93,6.98
Autumn 2022,Kookoos,19.1,10.4,15.5,92.7,879.3,176.91,107.91,9.26,5.93
Autumn 2023,Kookoos,9.75,9.5,8.0,44.0,482.42,832.27,88.27,12.01,6.5
Autumn 2024,Kookoos,10.85,10.08,7.85,88.62,424.92,407.71,178.71,18.81,14.78
Spring 2018,Kookoos,13.53,15.41,10.65,25.41,69.59,153.78,75.67,3.25,2.05
Spring 2019,Kookoos,22.83,13.83,11.5,24.08,74.5,172.0,109.4,9.55,7.22
Spring 2023,Kookoos,14.53,5.4,9.13,58.87,506.67,1264.67,153.5,24.81,17.18
Spring 2024,Kookoos,11.56,9.81,5.88,114.19,589.06,488.78,66.22,20.74,11.78
Spring 2025,Kookoos,10.78,5.44,9.06,72.39,519.67,493.58,98.08,8.45,3.75
Summer 2018,Kookoos,21.67,23.0,26.0,42.33,112.33,961.38,162.88,14.49,7.5
Summer 2019,Kookoos,47.62,34.12,36.25,65.75,338.62,603.0,301.0,44.59,31.13
Summer 2022,Kookoos,15.62,11.23,9.85,111.31,538.08,667.92,149.33,36.05,27.97
Summer 2023,Kookoos,11.07,11.13,9.67,82.93,514.33,282.45,44.73,4.63,2.63
Summer 2024,Kookoos,12.09,12.45,7.91,130.64,432.55,242.57,106.71,12.74,4.47
Summer 2025,Kookoos,10.17,13.06,10.11,96.94,719.33,383.44,46.17,8.93,4.59
Winter 17/18,Kookoos,11.0,11.43,12.43,18.43,70.71,788.43,675.43,111.12,104.21
Winter 18/19,Kookoos,28.33,32.33,19.17,18.17,67.0,416.71,57.14,6.42,3.17
Winter 19/20,Kookoos,8.92,9.17,6.46,16.58,34.29,725.73,139.47,15.64,7.42
Winter 22/23,Kookoos,12.27,11.4,11.0,55.53,527.47,340.38,232.62,18.86,13.81
Winter 23/24,Kookoos,10.32,13.95,8.26,60.89,473.74,688.25,70.7,9.54,4.88
Winter 24/25,Kookoos,11.11,11.61,7.22,47.83,485.17,293.33,197.5,12.1,10.24
