Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Lutoban North MPA,38.83,21.08,17.17,18.67,54.17,149.92,76.42,17.12,13.36
Autumn 2018,Lutoban North MPA,30.25,16.88,21.5,23.0,65.5,553.67,75.83,7.03,3.24
Autumn 2019,Lutoban North MPA,23.19,26.81,14.19,18.38,90.0,865.83,286.67,41.85,34.22
Autumn 2022,Lutoban North MPA,25.27,19.0,34.27,133.82,1298.55,226.25,106.25,10.97,6.38
Autumn 2023,Lutoban North MPA,9.4,14.7,12.2,66.0,463.9,732.64,200.45,30.8,24.61
Autumn 2024,Lutoban North MPA,9.09,12.45,10.91,114.82,490.73,426.83,228.83,19.35,15.53
Spring 2018,Lutoban North MPA,24.7,17.2,11.5,17.7,107.0,240.0,154.33,7.74,4.13
Spring 2019,Lutoban North MPA,25.73,23.55,9.91,29.45,73.09,340.7,279.2,29.19,26.48
Spring 2022,Lutoban North MPA,19.33,11.0,25.67,34.33,981.67,875.92,241.5,40.73,25.51
Spring 2023,Lutoban North MPA,14.88,10.88,12.94,32.94,477.82,603.0,73.0,16.89,4.61
Spring 2024,Lutoban North MPA,20.25,35.25,21.75,97.5,874.0,215.6,164.4,12.07,8.53
Spring 2025,Lutoban North MPA,11.0,10.11,10.21,52.79,431.47,677.06,105.19,14.18,7.83
Summer 2018,Lutoban North MPA,43.25,32.5,15.5,41.75,93.25,1510.91,497.36,60.35,43.05
Summer 2019,Lutoban North MPA,42.57,40.71,19.71,35.29,159.71,36.17,23.5,2.24,1.88
Summer 2022,Lutoban North MPA,23.46,12.0,17.85,58.31,718.15,779.94,108.88,19.29,12.48
Summer 2023,Lutoban North MPA,16.09,16.18,20.55,91.36,714.27,533.0,77.13,8.38,3.52
Summer 2024,Lutoban North MPA,14.75,19.0,17.0,173.38,698.62,292.67,125.0,20.56,17.23
Summer 2025,Lutoban North MPA,12.05,12.7,13.25,88.15,562.1,359.77,27.69,5.06,1.3
Winter 17/18,Lutoban North MPA,34.0,13.5,20.5,10.0,27.5,199.67,108.67,9.89,7.61
Winter 18/19,Lutoban North MPA,26.0,23.43,20.14,49.29,59.57,846.46,77.23,14.81,6.22
Winter 19/20,Lutoban North MPA,29.71,28.71,19.71,31.86,417.86,440.4,84.1,9.05,2.67
Winter 22/23,Lutoban North MPA,22.29,19.14,23.29,148.86,1352.43,465.62,244.62,14.16,10.75
Winter 23/24,Lutoban North MPA,16.25,16.58,10.17,55.5,728.75,425.5,75.2,16.16,12.5
Winter 24/25,Lutoban North MPA,10.83,14.0,9.72,85.39,428.78,988.54,85.0,13.56,4.53
