Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Maluay Malatapay MPA,13.58,26.08,16.75,78.42,94.42,536.8,326.2,140.86,102.33
Autumn 2018,Maluay Malatapay MPA,32.2,46.2,41.8,350.6,320.8,651.44,93.44,14.51,7.93
Autumn 2019,Maluay Malatapay MPA,9.6,19.85,11.55,13.25,163.2,1319.33,252.67,18.83,10.4
Autumn 2022,Maluay Malatapay MPA,9.76,16.29,27.06,119.35,525.0,235.17,97.5,11.59,8.0
Autumn 2023,Maluay Malatapay MPA,8.07,17.21,11.71,83.5,296.21,1113.5,127.4,11.21,3.66
Autumn 2024,Maluay Malatapay MPA,7.71,12.14,14.07,78.5,362.21,279.33,106.0,17.47,6.93
Spring 2018,Maluay Malatapay MPA,18.08,20.08,13.75,50.17,111.33,265.56,119.11,8.27,5.52
Spring 2019,Maluay Malatapay MPA,14.5,16.9,13.3,124.2,276.3,262.88,153.0,17.17,13.68
Spring 2022,Maluay Malatapay MPA,14.8,11.6,22.5,75.1,485.3,730.5,90.62,18.33,8.58
Spring 2023,Maluay Malatapay MPA,8.18,12.35,14.35,49.47,348.18,648.5,69.5,20.95,9.42
Spring 2024,Maluay Malatapay MPA,9.92,14.67,12.67,86.08,417.08,121.0,45.0,3.1,1.43
Spring 2025,Maluay Malatapay MPA,7.06,10.94,13.94,103.94,294.5,790.71,123.71,14.83,4.45
Summer 2018,Maluay Malatapay MPA,22.0,28.25,22.0,49.25,153.75,1643.5,319.25,30.46,19.43
Summer 2019,Maluay Malatapay MPA,29.0,35.43,42.43,36.86,368.0,220.42,185.25,12.62,11.57
Summer 2022,Maluay Malatapay MPA,7.87,12.0,19.53,98.6,395.0,709.0,77.26,12.53,6.25
Summer 2023,Maluay Malatapay MPA,10.53,10.71,14.47,49.41,437.18,733.12,86.94,12.84,5.74
Summer 2024,Maluay Malatapay MPA,10.25,14.62,16.88,140.38,382.75,165.0,63.5,8.11,4.04
Summer 2025,Maluay Malatapay MPA,10.09,14.59,17.27,160.27,694.36,453.5,80.75,18.35,10.88
Winter 17/18,Maluay Malatapay MPA,11.5,16.5,16.5,97.5,85.0,250.33,171.0,20.3,15.82
Winter 18/19,Maluay Malatapay MPA,33.17,31.5,17.83,107.33,173.5,51.0,8.0,1.24,0.62
Winter 19/20,Maluay Malatapay MPA,19.58,45.33,22.83,90.58,199.75,646.73,115.87,19.39,10.12
Winter 22/23,Maluay Malatapay MPA,7.17,14.17,14.42,107.42,350.42,1334.0,1088.17,130.4,119.19
Winter 23/24,Maluay Malatapay MPA,14.23,22.62,19.08,189.69,415.15,900.7,136.5,23.38,18.32
Winter 24/25,Maluay Malatapay MPA,7.22,15.22,11.94,82.06,407.56,760.18,294.64,33.26,16.94
