Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2019,Salag MPA,8.08,23.92,3.67,15.25,42.67,609.3,169.6,16.13,10.39
Autumn 2022,Salag MPA,12.56,10.22,5.33,77.89,545.44,374.5,220.0,18.75,13.24
Autumn 2023,Salag MPA,9.25,24.75,3.75,51.83,326.92,432.0,36.82,10.34,6.13
Autumn 2024,Salag MPA,12.6,19.0,4.3,71.0,350.5,300.57,182.71,8.16,5.7
Spring 2019,Salag MPA,30.0,36.5,9.25,58.0,153.88,178.1,126.5,9.25,6.76
Spring 2023,Salag MPA,10.81,10.44,2.75,39.94,414.88,989.15,221.23,21.03,13.69
Spring 2024,Salag MPA,13.88,14.31,6.25,91.69,653.81,215.75,126.5,6.2,4.61
Spring 2025,Salag MPA,10.37,14.0,4.42,64.26,440.32,928.1,181.0,27.31,15.05
Summer 2019,Salag MPA,40.67,29.33,12.83,40.5,224.5,368.38,270.5,13.15,11.34
Summer 2022,Salag MPA,17.25,22.25,5.12,108.88,1077.88,430.39,108.5,13.69,9.63
Summer 2023,Salag MPA,10.0,12.59,2.47,47.88,359.06,283.67,46.17,18.95,13.36
Summer 2024,Salag MPA,11.3,11.8,3.1,53.4,345.9,192.0,133.0,17.62,14.11
Summer 2025,Salag MPA,10.72,17.06,4.11,90.67,366.22,688.0,152.25,21.29,8.64
Winter 19/20,Salag MPA,22.33,31.17,14.83,25.83,97.67,432.53,61.82,8.62,3.19
Winter 22/23,Salag MPA,14.86,16.29,6.71,72.0,680.86,213.38,109.12,11.64,8.82
Winter 23/24,Salag MPA,8.93,21.07,4.87,67.0,533.47,347.25,33.75,6.94,3.92
Winter 24/25,Salag MPA,11.94,14.22,4.28,77.28,491.44,591.2,137.7,16.35,8.65
