Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Antulang,5.44,13.0,11.0,50.94,1.66
Winter 17/18,Antulang,8.5,23.0,7.25,38.25,1.0
Spring 2018,Antulang,6.32,29.82,8.46,33.68,0.32
Summer 2018,Antulang,11.33,31.17,13.83,32.33,1.83
Autumn 2018,Antulang,7.42,20.33,12.17,35.92,0.83
Winter 18/19,Antulang,5.53,31.33,11.0,32.8,2.5
Spring 2019,Antulang,8.0,31.42,6.75,28.67,0.83
Summer 2019,Antulang,16.53,24.4,11.8,25.47,0.87
Autumn 2019,Antulang,11.81,30.62,8.06,27.38,1.12
Winter 19/20,Antulang,5.93,36.73,7.47,30.93,3.47
Summer 2022,Antulang,6.44,41.38,7.44,27.44,4.06
Autumn 2022,Antulang,8.67,33.33,6.92,21.67,8.46
Winter 22/23,Antulang,9.42,40.25,8.75,20.92,2.58
Spring 2023,Antulang,11.56,34.5,7.72,22.67,2.89
Summer 2023,Antulang,14.46,30.92,9.77,19.77,0.73
Autumn 2023,Antulang,15.25,35.0,7.25,26.38,0.44
Winter 23/24,Antulang,10.71,35.64,9.21,18.43,0.14
Spring 2024,Antulang,7.06,31.38,8.94,25.38,1.94
Summer 2024,Antulang,12.11,35.74,6.32,23.16,0.79
Autumn 2024,Antulang,12.25,28.08,7.5,26.08,1.12
Winter 24/25,Antulang,8.5,28.69,8.44,28.44,0.47
Spring 2025,Antulang,9.55,37.35,5.5,27.65,1.45
Summer 2025,Antulang,13.1,26.4,6.9,31.55,0.68
