Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Basak Can-Unsang MPA,5.7,10.9,3.3,39.7,1.3
Winter 17/18,Basak Can-Unsang MPA,11.82,5.36,7.18,43.27,1.86
Spring 2018,Basak Can-Unsang MPA,8.33,23.72,12.94,32.11,0.89
Summer 2018,Basak Can-Unsang MPA,7.0,15.75,5.38,34.12,1.5
Autumn 2018,Basak Can-Unsang MPA,12.14,18.57,5.0,24.43,0.43
Winter 18/19,Basak Can-Unsang MPA,14.57,29.29,2.36,24.36,0.75
Spring 2019,Basak Can-Unsang MPA,12.7,17.5,8.7,28.0,0.45
Summer 2019,Basak Can-Unsang MPA,20.2,18.2,3.2,21.4,0.65
Autumn 2019,Basak Can-Unsang MPA,7.54,19.92,4.46,33.62,1.58
Winter 19/20,Basak Can-Unsang MPA,14.38,23.69,2.08,26.0,0.77
Spring 2022,Basak Can-Unsang MPA,17.22,20.06,5.94,25.28,1.97
Summer 2022,Basak Can-Unsang MPA,10.28,22.06,2.56,24.61,5.06
Autumn 2022,Basak Can-Unsang MPA,12.29,12.5,4.29,24.36,5.04
Winter 22/23,Basak Can-Unsang MPA,18.67,27.42,1.0,20.58,2.08
Spring 2023,Basak Can-Unsang MPA,11.47,15.74,4.68,23.32,4.55
Summer 2023,Basak Can-Unsang MPA,20.0,20.67,3.83,20.11,1.83
Autumn 2023,Basak Can-Unsang MPA,24.17,20.33,6.33,22.5,0.75
Winter 23/24,Basak Can-Unsang MPA,25.6,18.2,3.3,14.4,0.45
Spring 2024,Basak Can-Unsang MPA,9.11,32.33,7.89,22.11,1.44
Summer 2024,Basak Can-Unsang MPA,18.5,22.4,3.4,18.4,0.7
Autumn 2024,Basak Can-Unsang MPA,18.29,32.86,1.29,19.0,0.14
Winter 24/25,Basak Can-Unsang MPA,22.57,12.43,2.57,16.14,0.29
Spring 2025,Basak Can-Unsang MPA,17.8,25.3,1.8,14.4,0.4
Summer 2025,Basak Can-Unsang MPA,21.0,17.92,1.38,22.31,0.19
