Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,DAUIN POBLACION MPA,10.67,8.94,9.61,50.44,1.11
Winter 17/18,DAUIN POBLACION MPA,5.0,13.0,1.0,50.0,0.0
Spring 2018,DAUIN POBLACION MPA,11.59,18.03,3.56,54.12,0.98
Summer 2018,DAUIN POBLACION MPA,6.1,15.2,7.2,57.0,2.05
Autumn 2018,DAUIN POBLACION MPA,11.81,13.58,7.08,47.85,2.23
Winter 18/19,DAUIN POBLACION MPA,8.71,21.54,8.29,49.88,2.08
Spring 2019,DAUIN POBLACION MPA,15.5,20.33,10.0,48.08,1.17
Summer 2019,DAUIN POBLACION MPA,22.81,13.19,7.5,49.5,0.34
Autumn 2019,DAUIN POBLACION MPA,11.25,9.08,9.42,53.83,1.33
Winter 19/20,DAUIN POBLACION MPA,17.33,17.08,6.17,38.0,2.58
Spring 2022,DAUIN POBLACION MPA,13.38,19.0,2.38,56.38,6.88
Summer 2022,DAUIN POBLACION MPA,9.83,14.96,6.12,62.96,10.96
Autumn 2022,DAUIN POBLACION MPA,10.5,13.83,6.25,58.83,10.62
Winter 22/23,DAUIN POBLACION MPA,16.62,15.38,9.0,48.38,11.58
