Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Spring 2019,Dalakit MPA,0.75,32.0,0.25,51.75,0.62
Summer 2019,Dalakit MPA,1.5,19.5,0.5,64.0,0.75
Autumn 2019,Dalakit MPA,5.0,11.5,1.0,62.25,0.38
Winter 19/20,Dalakit MPA,0.14,47.86,1.29,32.14,4.71
Spring 2022,Dalakit MPA,5.0,37.0,0.5,34.75,0.75
Summer 2022,Dalakit MPA,3.75,48.5,0.0,33.25,9.25
Autumn 2022,Dalakit MPA,10.25,11.25,0.75,48.0,5.12
Winter 22/23,Dalakit MPA,6.75,37.25,2.0,30.0,7.0
Spring 2023,Dalakit MPA,6.0,38.67,0.17,43.33,9.92
Summer 2023,Dalakit MPA,3.17,43.33,0.17,29.83,1.75
Autumn 2023,Dalakit MPA,11.0,43.5,0.0,30.75,1.75
Winter 23/24,Dalakit MPA,6.75,37.25,3.25,32.75,3.62
Spring 2024,Dalakit MPA,5.67,30.0,2.0,36.33,4.67
Summer 2024,Dalakit MPA,10.5,28.5,2.75,37.75,4.25
Autumn 2024,Dalakit MPA,0.0,28.0,2.0,45.0,0.0
Winter 24/25,Dalakit MPA,6.0,46.75,0.75,25.5,0.0
Spring 2025,Dalakit MPA,12.25,52.0,0.5,25.75,0.88
Summer 2025,Dalakit MPA,6.4,41.6,2.6,30.6,0.9
