Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Kookoos,7.2,9.1,23.2,48.3,2.25
Winter 17/18,Kookoos,5.42,7.5,30.33,53.33,1.62
Spring 2018,Kookoos,5.08,17.44,17.28,48.08,1.86
Summer 2018,Kookoos,1.12,7.62,58.12,43.5,10.44
Autumn 2018,Kookoos,3.53,15.53,25.53,41.4,2.9
Winter 18/19,Kookoos,2.94,14.94,22.0,52.11,1.33
Spring 2019,Kookoos,2.4,19.33,24.93,53.0,1.9
Summer 2019,Kookoos,3.42,17.5,24.25,47.92,2.79
Autumn 2019,Kookoos,4.24,13.12,30.0,44.0,1.62
Winter 19/20,Kookoos,6.54,16.38,18.31,48.23,3.96
Spring 2022,Kookoos,4.67,14.0,17.33,56.94,7.89
Summer 2022,Kookoos,6.29,14.94,21.53,50.71,9.59
Autumn 2022,Kookoos,7.0,10.62,20.38,48.77,13.65
Winter 22/23,Kookoos,8.08,17.0,23.31,45.15,11.96
Spring 2023,Kookoos,5.83,18.44,21.56,49.83,9.89
Summer 2023,Kookoos,7.1,13.5,20.3,53.05,1.72
Autumn 2023,Kookoos,12.86,16.71,13.0,49.57,0.5
Winter 23/24,Kookoos,8.26,26.21,17.37,47.79,0.45
Spring 2024,Kookoos,5.42,21.95,20.53,46.89,2.5
Summer 2024,Kookoos,4.92,16.75,13.83,58.0,4.96
Autumn 2024,Kookoos,15.88,19.94,12.81,47.75,1.5
Winter 24/25,Kookoos,10.22,25.5,15.06,42.28,1.03
Spring 2025,Kookoos,9.78,30.48,9.09,40.91,3.3
Summer 2025,Kookoos,10.95,26.9,10.05,43.25,0.95
