Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Lutoban North MPA,10.38,15.08,19.71,45.83,2.21
Winter 17/18,Lutoban North MPA,11.5,23.0,5.0,36.0,0.5
Spring 2018,Lutoban North MPA,8.91,29.82,3.73,32.18,0.18
Summer 2018,Lutoban North MPA,5.44,24.5,6.44,37.75,0.91
Autumn 2018,Lutoban North MPA,14.36,20.21,4.36,40.0,0.36
Winter 18/19,Lutoban North MPA,8.35,27.65,8.4,37.3,1.2
Spring 2019,Lutoban North MPA,7.39,28.17,14.78,31.17,2.53
Summer 2019,Lutoban North MPA,15.45,18.8,8.95,38.8,0.68
Autumn 2019,Lutoban North MPA,12.0,23.47,6.58,39.11,4.84
Winter 19/20,Lutoban North MPA,10.43,29.67,7.95,30.24,1.83
Spring 2021,Lutoban North MPA,9.77,18.31,11.0,38.54,5.62
Spring 2022,Lutoban North MPA,13.14,27.68,11.55,31.73,4.64
Summer 2022,Lutoban North MPA,9.62,28.67,19.33,31.12,5.65
Autumn 2022,Lutoban North MPA,10.62,27.54,10.08,34.46,6.5
Winter 22/23,Lutoban North MPA,15.53,25.4,7.87,30.0,4.73
Spring 2023,Lutoban North MPA,14.4,27.9,11.4,32.5,4.08
Summer 2023,Lutoban North MPA,14.85,28.75,13.2,28.0,0.75
Autumn 2023,Lutoban North MPA,20.46,29.85,10.46,23.23,0.46
Winter 23/24,Lutoban North MPA,22.6,27.33,12.53,21.2,0.73
Spring 2024,Lutoban North MPA,14.72,28.44,10.44,27.06,1.36
Summer 2024,Lutoban North MPA,11.2,29.6,12.4,28.47,1.53
Autumn 2024,Lutoban North MPA,22.82,25.73,7.64,26.36,1.36
Winter 24/25,Lutoban North MPA,18.39,25.67,9.67,24.39,0.89
Spring 2025,Lutoban North MPA,18.1,28.4,10.6,23.55,0.57
Summer 2025,Lutoban North MPA,21.48,26.29,9.38,24.95,1.6
