Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Lutoban Pier,7.54,12.23,13.92,57.77,1.77
Winter 17/18,Lutoban Pier,5.1,6.4,8.6,68.2,1.15
Spring 2018,Lutoban Pier,5.42,10.05,8.16,62.37,2.37
Summer 2018,Lutoban Pier,4.53,19.0,8.41,57.18,5.29
Autumn 2018,Lutoban Pier,6.71,14.0,15.5,47.43,2.93
Winter 18/19,Lutoban Pier,1.85,26.65,10.85,48.05,2.9
Spring 2019,Lutoban Pier,1.75,20.58,11.17,57.0,4.83
Summer 2019,Lutoban Pier,10.92,11.25,16.92,49.5,0.83
Autumn 2019,Lutoban Pier,7.7,13.05,10.85,53.25,6.98
Winter 19/20,Lutoban Pier,3.33,13.89,12.94,58.17,6.75
Spring 2021,Lutoban Pier,6.8,11.0,11.0,58.6,10.2
Spring 2022,Lutoban Pier,7.78,19.33,4.83,58.17,2.39
Summer 2022,Lutoban Pier,8.23,15.18,12.59,53.68,5.68
Autumn 2022,Lutoban Pier,9.25,19.92,12.58,44.58,8.17
Winter 22/23,Lutoban Pier,6.58,18.83,4.5,64.5,6.75
Spring 2023,Lutoban Pier,9.74,12.16,13.95,56.79,4.58
Summer 2023,Lutoban Pier,13.4,15.8,11.1,48.1,0.7
Autumn 2023,Lutoban Pier,11.69,27.23,11.69,42.31,0.73
Winter 23/24,Lutoban Pier,11.6,19.47,12.07,48.87,0.67
Spring 2024,Lutoban Pier,10.14,24.21,13.5,38.36,1.71
Summer 2024,Lutoban Pier,11.0,21.57,15.29,37.36,1.68
Autumn 2024,Lutoban Pier,12.12,14.62,16.75,41.62,1.75
Winter 24/25,Lutoban Pier,10.39,18.11,13.94,44.06,0.86
Spring 2025,Lutoban Pier,18.11,20.39,10.61,35.56,1.78
Summer 2025,Lutoban Pier,12.17,17.48,10.91,45.39,1.02
