Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Spring 2018,Lutoban South MPA,10.67,27.17,19.67,34.67,1.33
Autumn 2019,Lutoban South MPA,9.08,21.75,20.92,35.17,5.75
Winter 19/20,Lutoban South MPA,13.58,25.42,15.67,32.33,2.04
Spring 2021,Lutoban South MPA,5.0,14.0,15.0,52.0,11.5
Spring 2022,Lutoban South MPA,12.08,30.33,20.83,22.83,3.25
Summer 2022,Lutoban South MPA,8.14,36.67,19.57,21.62,7.07
Autumn 2022,Lutoban South MPA,10.54,28.77,17.54,26.54,5.23
Winter 22/23,Lutoban South MPA,8.44,25.25,19.56,27.06,7.16
Spring 2023,Lutoban South MPA,19.75,31.75,16.45,19.65,3.82
Summer 2023,Lutoban South MPA,10.9,35.6,18.25,16.15,0.4
Autumn 2023,Lutoban South MPA,18.0,36.83,16.33,15.58,0.71
Winter 23/24,Lutoban South MPA,23.56,31.94,17.0,16.5,1.22
Spring 2024,Lutoban South MPA,10.86,32.29,22.93,18.79,2.18
Summer 2024,Lutoban South MPA,14.31,33.31,19.81,19.5,0.88
Autumn 2024,Lutoban South MPA,24.46,24.85,13.92,22.15,1.23
Winter 24/25,Lutoban South MPA,20.14,29.86,14.64,17.0,0.21
Spring 2025,Lutoban South MPA,18.44,34.78,13.78,14.72,1.56
Summer 2025,Lutoban South MPA,19.33,33.48,14.57,19.62,0.9
