Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,MASAPLOD NORTE MPA,2.33,14.62,6.48,44.76,2.9
Winter 17/18,MASAPLOD NORTE MPA,3.0,28.0,6.25,32.75,0.12
Spring 2018,MASAPLOD NORTE MPA,2.78,21.72,6.39,36.33,0.33
Summer 2018,MASAPLOD NORTE MPA,4.22,18.89,10.89,24.33,0.72
Autumn 2018,MASAPLOD NORTE MPA,3.32,21.0,10.26,33.26,1.95
Winter 18/19,MASAPLOD NORTE MPA,4.12,16.38,10.06,35.69,1.0
Spring 2019,MASAPLOD NORTE MPA,7.14,18.62,10.48,32.05,0.93
Summer 2019,MASAPLOD NORTE MPA,8.82,16.76,8.59,30.12,0.29
Autumn 2019,MASAPLOD NORTE MPA,3.5,17.33,12.92,35.33,2.79
Winter 19/20,MASAPLOD NORTE MPA,5.0,12.5,11.5,36.83,1.75
Summer 2022,MASAPLOD NORTE MPA,6.64,19.57,10.29,42.86,3.93
Autumn 2022,MASAPLOD NORTE MPA,13.58,11.17,8.67,34.75,10.88
Winter 22/23,MASAPLOD NORTE MPA,18.11,20.89,11.0,22.89,6.56
