Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Maluay Malatapay MPA,9.68,21.8,0.76,44.48,1.88
Spring 2018,Maluay Malatapay MPA,13.5,33.33,0.06,35.22,0.78
Summer 2018,Maluay Malatapay MPA,3.42,37.17,0.58,23.0,1.17
Autumn 2018,Maluay Malatapay MPA,15.79,36.12,0.17,24.83,0.71
Winter 18/19,Maluay Malatapay MPA,8.81,42.56,0.81,31.38,1.56
Spring 2019,Maluay Malatapay MPA,15.07,40.86,0.14,26.21,0.54
Summer 2019,Maluay Malatapay MPA,30.47,24.95,0.58,26.84,0.58
Autumn 2019,Maluay Malatapay MPA,13.0,37.53,0.12,28.0,0.88
Winter 19/20,Maluay Malatapay MPA,14.43,42.5,0.36,23.36,2.71
Spring 2021,Maluay Malatapay MPA,8.55,31.64,0.0,39.64,5.14
Spring 2022,Maluay Malatapay MPA,19.71,32.0,1.5,32.96,3.4
Summer 2022,Maluay Malatapay MPA,11.17,40.04,0.48,31.87,7.04
Autumn 2022,Maluay Malatapay MPA,8.86,34.73,0.86,36.45,7.68
Winter 22/23,Maluay Malatapay MPA,23.64,41.71,0.36,23.43,6.18
Spring 2023,Maluay Malatapay MPA,30.67,31.56,0.06,23.78,4.25
Summer 2023,Maluay Malatapay MPA,29.0,20.95,0.1,35.6,2.45
Autumn 2023,Maluay Malatapay MPA,38.79,28.86,0.43,26.07,2.18
Winter 23/24,Maluay Malatapay MPA,42.7,31.45,1.8,17.1,1.95
Spring 2024,Maluay Malatapay MPA,18.11,35.44,2.83,27.28,2.19
Summer 2024,Maluay Malatapay MPA,30.86,36.36,0.27,24.73,2.02
Autumn 2024,Maluay Malatapay MPA,27.2,33.87,0.73,26.2,1.53
Winter 24/25,Maluay Malatapay MPA,27.93,36.53,0.47,16.6,0.33
Spring 2025,Maluay Malatapay MPA,25.71,41.43,0.52,18.52,1.24
Summer 2025,Maluay Malatapay MPA,30.11,33.46,0.25,27.36,1.14
