Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Spring 2019,Salag MPA,1.5,25.79,31.29,30.5,2.93
Summer 2019,Salag MPA,4.82,10.18,34.09,36.45,0.41
Autumn 2019,Salag MPA,4.64,8.55,30.45,42.91,8.27
Winter 19/20,Salag MPA,5.14,19.43,32.71,35.5,2.21
Summer 2022,Salag MPA,3.58,16.17,32.83,38.33,4.96
Autumn 2022,Salag MPA,5.83,9.92,28.25,39.67,11.54
Winter 22/23,Salag MPA,8.71,11.71,26.43,33.79,7.89
Spring 2023,Salag MPA,5.29,15.47,29.06,37.06,8.88
Summer 2023,Salag MPA,9.4,8.05,24.8,45.75,2.65
Autumn 2023,Salag MPA,6.08,15.0,26.0,40.75,0.96
Winter 23/24,Salag MPA,4.53,14.33,32.13,38.93,0.87
Spring 2024,Salag MPA,2.43,18.0,31.5,36.21,7.14
Summer 2024,Salag MPA,8.4,8.13,29.6,42.53,3.43
Autumn 2024,Salag MPA,15.78,13.89,19.11,39.33,2.83
Winter 24/25,Salag MPA,8.89,28.39,17.83,31.72,0.64
Spring 2025,Salag MPA,8.14,35.64,15.86,29.43,2.86
Summer 2025,Salag MPA,9.78,23.67,19.39,38.11,1.67
